Age at enrollment,Application mode,Curricular units 1st sem (approved),Curricular units 1st sem (enrolled),Curricular units 1st sem (grade),Curricular units 2nd sem (grade),Debtor,Gender,Scholarship holder,Tuition fees up to date,Target
21,15,6,6,11.5,13.285714285714286,0,0,1,1,Graduate
19,1,5,6,12.333333333333334,12.833333333333334,0,0,1,1,Graduate
24,12,6,6,13.666666666666666,14.166666666666666,0,0,1,1,Graduate
19,1,5,5,14.714285714285714,15.8,0,0,0,1,Graduate
27,12,5,5,10.6,11.0,0,0,0,1,Dropout
18,1,7,7,13.044444444444444,13.595,0,0,0,1,Graduate
39,4,0,6,0.0,0.0,0,0,0,1,Dropout
27,12,5,6,13.0,12.9,0,0,0,1,Dropout
18,8,8,8,14.935,14.935,0,0,0,1,Graduate
18,1,6,7,13.133333333333333,12.221428571428572,0,0,0,1,Graduate
21,15,6,6,12.0,12.0,0,0,1,1,Graduate
29,13,5,7,11.9,11.0,0,1,0,1,Dropout
19,1,0,0,0.0,0.0,0,1,1,1,Graduate
23,15,6,6,12.571428571428571,12.428571428571429,0,1,0,1,Graduate
19,1,5,5,11.2,10.75,1,1,0,1,Dropout
24,8,7,7,11.975,13.75,0,1,0,1,Graduate
19,1,0,0,0.0,0.0,0,1,0,1,Dropout
18,8,3,6,11.666666666666666,12.0,0,1,0,1,Dropout
18,1,6,6,12.333333333333334,12.333333333333334,0,1,0,1,Graduate
18,8,3,5,10.333333333333334,10.857142857142858,1,1,0,1,Dropout
21,9,4,6,10.5,11.0,0,1,1,1,Dropout
19,8,6,6,13.666666666666666,13.333333333333334,1,1,1,1,Graduate
22,8,7,7,14.842857142857142,15.055555555555555,0,1,1,1,Graduate
33,12,6,6,12.0,11.666666666666666,0,1,0,1,Graduate
20,1,5,6,12.2,12.2,0,1,0,1,Dropout
35,12,0,1,0.0,0.0,0,1,0,1,Dropout
24,12,6,12,12.166666666666666,13.3,1,1,0,1,Dropout
33,12,6,6,11.0,11.0,0,0,0,1,Graduate
22,13,7,8,13.08,13.08,0,0,1,1,Graduate
25,12,4,5,10.5,11.6,0,0,1,1,Graduate
20,8,6,6,10.666666666666666,11.2,0,1,0,1,Graduate
24,12,0,7,0.0,0.0,0,1,0,1,Dropout
21,8,6,6,14.0,13.5,0,0,0,0,Graduate
26,6,2,6,12.0,0.0,0,0,0,1,Dropout
39,12,3,6,12.666666666666666,0.0,0,0,0,1,Dropout
44,12,8,8,11.875,12.333333333333334,0,0,0,1,Graduate
18,1,6,6,13.666666666666666,13.333333333333334,0,0,0,1,Graduate
18,1,7,7,13.75,14.47777777777778,0,0,1,1,Graduate
19,1,4,7,11.96,0.0,1,0,0,0,Dropout
21,17,8,10,12.875,13.4,0,0,0,1,Dropout
20,1,0,0,0.0,0.0,0,0,0,1,Graduate
36,12,0,6,0.0,0.0,0,0,0,1,Dropout
43,12,18,18,14.63157894736842,14.23076923076923,0,0,0,1,Graduate
19,9,0,6,0.0,0.0,0,0,0,1,Dropout
20,16,10,10,13.0,12.272727272727272,1,0,0,1,Graduate
19,1,0,6,0.0,0.0,0,0,0,1,Dropout
20,1,4,6,14.2,13.25,0,0,0,1,Dropout
20,1,6,7,13.266666666666666,12.3,0,0,0,1,Dropout
18,1,6,6,13.857142857142858,15.0,0,0,0,1,Graduate
19,1,5,5,13.4,12.8,0,0,0,1,Graduate
18,1,6,6,12.666666666666666,12.571428571428571,0,0,0,1,Graduate
18,8,6,7,12.516666666666666,12.516666666666666,0,0,0,1,Dropout
18,1,5,5,13.142857142857142,11.4,0,0,0,1,Graduate
18,1,5,5,12.6,14.0,0,0,0,1,Graduate
21,8,3,6,11.0,11.0,0,0,0,1,Dropout
19,1,5,5,10.8,11.25,0,0,0,1,Graduate
19,1,0,0,0.0,0.0,0,0,0,1,Dropout
19,1,5,5,12.8,14.2,0,0,1,1,Graduate
19,1,6,6,14.166666666666666,12.2,0,0,0,1,Graduate
19,8,5,7,12.1,0.0,0,0,0,1,Dropout
20,15,6,6,14.166666666666666,13.77777777777778,0,0,0,1,Graduate
18,8,6,6,13.0,13.666666666666666,0,0,0,1,Graduate
19,8,7,7,13.467142857142855,15.011111111111113,0,0,0,1,Graduate
18,1,7,7,13.2375,13.742857142857144,0,0,1,1,Dropout
18,8,6,6,12.333333333333334,13.0,0,0,0,1,Graduate
19,1,5,5,12.4,14.6,0,0,0,1,Graduate
19,8,5,7,14.0,0.0,0,0,0,1,Dropout
20,14,9,9,11.666666666666666,11.714285714285714,0,0,0,1,Graduate
19,1,5,6,12.0,12.5,1,0,1,0,Dropout
20,8,4,5,12.2,11.5,0,0,0,1,Graduate
18,1,6,6,14.833333333333334,14.833333333333334,1,0,1,1,Graduate
18,9,7,7,17.125,17.5875,0,0,0,1,Graduate
19,1,6,7,12.666666666666666,12.666666666666666,0,0,0,1,Graduate
19,1,6,6,12.666666666666666,12.0,0,0,1,1,Graduate
19,1,6,6,11.333333333333334,11.5,0,0,1,1,Graduate
19,1,7,7,13.605,12.33125,0,0,1,1,Graduate
19,8,5,6,12.0,10.8,0,0,1,1,Graduate
19,1,0,5,0.0,0.0,0,0,0,1,Dropout
20,8,5,6,11.2,11.666666666666666,0,0,0,1,Dropout
18,1,5,5,13.375,14.166666666666666,0,0,0,1,Graduate
20,1,6,7,13.863333333333337,14.178571428571429,0,0,1,1,Graduate
19,1,5,5,12.4,13.4,0,0,0,1,Graduate
18,1,6,6,13.333333333333334,11.8,0,0,0,1,Graduate
21,14,3,6,12.666666666666666,10.0,0,0,0,1,Dropout
19,1,6,6,12.0,11.5,0,0,0,1,Dropout
18,1,5,5,10.6,11.8,0,0,1,1,Graduate
18,8,6,6,12.25,11.857142857142858,0,0,1,1,Graduate
20,1,4,6,11.0,11.833333333333334,0,0,0,1,Graduate
24,12,5,6,11.0,12.6,0,0,1,1,Graduate
19,1,6,6,13.166666666666666,13.0,0,0,0,1,Dropout
18,1,7,7,12.855555555555554,12.761111111111113,0,0,1,1,Graduate
18,1,7,7,14.91875,15.355,0,0,0,1,Graduate
21,8,4,6,11.5,11.0,0,0,0,1,Dropout
19,8,5,5,14.2,14.2,0,0,0,1,Graduate
19,8,6,6,12.5,13.0,0,0,1,1,Graduate
19,8,5,6,11.666666666666666,11.0,0,0,0,1,Graduate
29,12,7,8,14.257142857142856,14.257142857142856,0,0,0,1,Graduate
21,14,3,6,12.0,11.333333333333334,0,0,0,1,Dropout
20,8,7,7,12.457142857142856,13.5625,0,0,0,1,Graduate
19,8,6,7,11.683333333333332,11.683333333333332,0,0,0,1,Graduate
26,13,3,6,11.666666666666666,12.0,0,0,0,1,Graduate
20,8,4,6,11.75,13.166666666666666,1,0,0,0,Dropout
27,12,5,6,13.2,12.0,0,0,0,1,Graduate
20,1,4,7,11.95,11.95,0,0,0,1,Dropout
18,1,5,6,12.4,10.4,0,0,0,1,Dropout
33,4,6,7,14.35,14.583333333333334,0,0,0,1,Dropout
35,14,21,21,12.61904761904762,12.789473684210526,0,0,0,1,Graduate
27,12,5,6,12.0,0.0,1,0,0,0,Dropout
19,9,6,6,12.166666666666666,0.0,0,0,0,0,Dropout
20,8,0,6,0.0,0.0,0,0,0,1,Dropout
20,9,3,5,10.0,10.571428571428571,1,0,0,0,Dropout
18,8,6,7,13.05,13.05,0,0,1,1,Graduate
24,12,2,6,11.0,0.0,0,0,0,1,Dropout
20,8,6,6,11.5,12.0,0,0,0,1,Graduate
21,1,6,6,12.0,12.5,0,0,1,1,Graduate
24,12,0,5,0.0,0.0,0,0,0,1,Dropout
21,16,0,6,0.0,0.0,0,0,0,1,Dropout
18,1,7,8,12.242857142857144,12.242857142857144,0,0,0,1,Graduate
27,12,0,5,0.0,0.0,0,0,0,1,Dropout
18,9,8,8,12.93375,12.93375,0,0,0,1,Graduate
35,4,0,5,0.0,0.0,0,0,0,1,Dropout
18,1,7,7,12.571428571428571,14.428571428571429,0,0,0,1,Graduate
19,1,4,5,13.75,14.333333333333334,0,0,0,1,Graduate
20,1,6,6,11.166666666666666,11.333333333333334,0,0,0,1,Graduate
18,1,7,8,12.324285714285711,12.324285714285711,0,0,0,1,Graduate
21,15,6,6,12.166666666666666,11.714285714285714,1,0,0,1,Graduate
18,8,5,6,11.142857142857142,11.25,0,0,1,1,Graduate
18,1,4,6,11.0,10.75,0,0,0,1,Graduate
18,1,7,8,12.914285714285713,12.914285714285713,0,0,0,1,Graduate
18,1,6,6,13.833333333333334,14.166666666666666,0,0,1,1,Graduate
19,1,6,6,13.857142857142858,13.4,0,0,0,1,Graduate
36,12,6,6,13.714285714285714,12.8,0,0,1,1,Dropout
18,1,7,8,12.642857142857142,12.642857142857142,0,0,1,1,Graduate
18,1,6,7,12.916666666666666,12.916666666666666,0,0,1,1,Graduate
20,14,6,6,15.625,15.857142857142858,0,0,1,1,Graduate
26,12,0,5,0.0,0.0,0,0,1,1,Dropout
21,14,6,6,11.714285714285714,12.0,0,0,0,1,Graduate
19,9,5,5,11.6,11.6,0,0,1,1,Graduate
24,12,1,6,10.0,0.0,0,0,0,1,Dropout
27,12,1,6,10.0,0.0,0,0,1,1,Dropout
21,8,0,5,0.0,13.5,0,0,0,1,Dropout
18,1,4,5,13.0,12.333333333333334,0,0,1,1,Graduate
19,1,6,6,13.333333333333334,14.5,0,0,1,1,Graduate
18,1,4,6,11.25,12.5,0,0,0,1,Dropout
19,16,5,7,13.85,12.19285714285714,0,0,1,1,Graduate
19,9,6,7,13.741666666666667,14.9125,0,0,1,1,Graduate
33,4,6,6,15.333333333333334,15.8,0,0,0,1,Graduate
45,4,5,5,11.0,13.8,0,0,0,1,Graduate
20,1,6,6,12.0,12.857142857142858,0,0,1,1,Graduate
28,12,0,5,0.0,0.0,0,0,0,1,Dropout
19,14,7,8,11.571428571428571,11.571428571428571,0,0,1,1,Graduate
18,1,6,6,12.857142857142858,12.666666666666666,0,0,0,1,Graduate
38,12,0,6,0.0,0.0,0,0,0,1,Dropout
19,1,5,5,13.0,13.2,0,0,0,1,Graduate
21,1,5,6,11.0,12.0,0,0,1,1,Graduate
21,1,3,5,12.0,15.0,0,0,0,1,Dropout
22,1,5,6,12.6,13.0,0,0,1,1,Graduate
18,1,5,6,13.4,13.166666666666666,0,0,1,1,Graduate
18,8,6,6,11.333333333333334,11.571428571428571,0,0,1,1,Graduate
25,1,4,5,13.5,14.25,0,0,0,0,Dropout
24,12,3,6,11.75,10.333333333333334,1,0,0,0,Dropout
20,1,5,5,11.6,13.6,0,0,1,1,Graduate
25,12,0,5,0.0,0.0,0,0,0,0,Dropout
20,1,9,10,12.9,12.363636363636363,0,0,1,1,Graduate
23,4,8,8,13.22,13.22,0,0,0,1,Graduate
19,8,7,8,13.151428571428571,13.151428571428571,0,0,1,1,Graduate
29,15,3,6,12.75,11.333333333333334,1,0,0,0,Dropout
21,1,6,6,11.333333333333334,12.25,0,0,0,1,Graduate
18,1,6,6,13.25,14.142857142857142,0,0,1,1,Graduate
18,1,6,6,15.0,12.833333333333334,0,0,1,1,Dropout
19,1,5,5,14.4,13.0,0,0,0,1,Graduate
18,8,5,5,12.4,10.8,0,0,0,1,Graduate
37,12,1,7,16.0,0.0,1,0,1,0,Dropout
29,8,5,5,13.571428571428571,12.333333333333334,0,0,0,1,Graduate
19,1,5,6,11.666666666666666,12.666666666666666,0,0,1,1,Graduate
22,14,6,10,11.833333333333334,13.0,1,0,0,0,Dropout
20,1,6,6,11.166666666666666,10.6,0,0,1,1,Graduate
34,12,0,6,0.0,0.0,0,0,0,1,Dropout
30,14,8,12,11.75,12.166666666666666,1,0,0,0,Dropout
18,1,6,6,14.0,14.0,0,0,0,1,Graduate
18,1,6,6,12.833333333333334,12.0,0,0,0,1,Graduate
18,1,4,6,12.25,11.666666666666666,0,0,0,1,Graduate
18,8,7,8,14.828571428571427,14.828571428571427,0,0,0,1,Graduate
19,1,5,6,11.4,12.8,0,0,1,1,Graduate
19,1,6,6,13.0,12.5,0,0,1,1,Graduate
18,1,7,8,13.671428571428573,13.671428571428573,0,0,1,1,Graduate
21,15,6,6,12.666666666666666,12.8,0,0,1,1,Graduate
20,1,2,5,10.0,13.0,0,0,0,0,Dropout
20,8,5,5,13.5,12.333333333333334,0,0,0,1,Graduate
19,1,7,7,12.67,13.55,0,0,0,1,Graduate
20,1,6,6,14.5,15.428571428571429,0,0,0,1,Graduate
18,8,7,7,13.685714285714283,15.3875,0,0,0,1,Graduate
20,13,5,6,11.0,10.666666666666666,0,0,0,1,Dropout
29,4,7,9,11.555555555555555,13.2,1,0,0,0,Dropout
20,1,7,7,14.00375,13.812857142857142,0,0,1,1,Graduate
22,7,4,5,12.0,11.4,0,0,1,1,Graduate
47,1,5,6,14.166666666666666,14.166666666666666,0,0,1,1,Graduate
31,16,5,5,14.0,13.8,0,0,0,1,Graduate
21,1,5,6,13.8,12.833333333333334,0,0,1,1,Graduate
21,1,5,6,12.8,11.857142857142858,0,0,0,1,Graduate
24,12,6,6,12.166666666666666,13.833333333333334,0,0,0,1,Graduate
32,12,4,6,12.0,11.5,0,0,0,1,Graduate
19,9,6,6,10.833333333333334,11.5,0,0,1,1,Graduate
24,12,8,8,13.385,13.385,0,0,0,1,Graduate
19,8,6,6,15.666666666666666,14.5,0,0,0,1,Graduate
19,15,6,6,14.333333333333334,13.833333333333334,1,0,1,1,Graduate
18,8,6,6,11.666666666666666,11.666666666666666,0,0,1,1,Graduate
19,1,5,6,12.0,11.333333333333334,0,0,1,1,Dropout
19,1,7,8,14.725714285714288,14.725714285714288,0,0,1,1,Graduate
18,8,6,6,14.166666666666666,13.666666666666666,0,0,1,1,Graduate
18,1,6,6,11.571428571428571,12.333333333333334,0,0,0,1,Graduate
20,8,7,7,12.5,13.1375,0,0,0,1,Graduate
18,1,8,8,12.86,12.86,0,0,0,1,Graduate
18,8,6,6,12.25,13.714285714285714,0,0,0,1,Graduate
21,1,4,5,12.0,12.2,0,0,1,1,Graduate
18,1,7,7,15.116666666666667,16.168888888888887,0,0,1,1,Graduate
18,16,2,5,12.5,10.25,1,0,0,0,Dropout
19,8,0,6,0.0,0.0,0,0,0,1,Dropout
18,8,6,6,11.875,14.6,0,0,0,1,Graduate
34,12,1,5,11.0,0.0,0,0,0,1,Dropout
19,1,5,5,15.2,13.2,0,0,0,1,Graduate
19,15,5,6,11.6,11.0,1,0,0,0,Dropout
26,16,6,6,14.833333333333334,15.142857142857142,1,0,0,1,Graduate
21,8,3,6,11.333333333333334,11.333333333333334,0,0,0,1,Dropout
18,8,5,5,11.2,11.8,0,0,1,1,Graduate
20,8,5,6,13.4,13.666666666666666,0,0,1,1,Graduate
25,16,2,5,10.5,0.0,0,0,0,1,Dropout
18,1,5,5,16.2,16.4,0,0,0,1,Graduate
18,1,7,7,14.542857142857144,14.88181818181818,0,0,1,1,Graduate
19,1,7,7,13.694285714285714,14.355555555555554,0,0,0,1,Graduate
18,1,6,6,11.285714285714286,11.857142857142858,0,0,1,1,Graduate
26,4,0,3,0.0,0.0,1,0,0,0,Dropout
19,13,7,8,13.058571428571428,13.058571428571428,0,0,1,1,Graduate
19,1,7,7,14.3,14.055555555555555,0,0,0,1,Graduate
19,14,5,10,11.8,12.0,0,0,0,1,Graduate
18,1,6,6,10.571428571428571,11.666666666666666,0,0,0,1,Graduate
19,14,6,7,13.333333333333334,13.333333333333334,0,0,0,1,Graduate
18,1,6,6,11.857142857142858,11.0,1,0,0,1,Graduate
26,15,0,5,0.0,0.0,1,0,0,1,Dropout
20,1,6,6,12.0,13.0,0,0,0,1,Graduate
19,1,6,6,12.666666666666666,11.666666666666666,0,0,0,1,Graduate
18,1,6,6,12.166666666666666,13.666666666666666,0,0,1,1,Graduate
19,15,6,6,13.333333333333334,14.666666666666666,0,0,0,1,Graduate
40,4,7,7,15.0,14.571428571428571,1,0,0,1,Graduate
18,1,8,8,13.39125,13.39125,0,0,1,1,Graduate
19,8,5,6,12.166666666666666,12.428571428571429,0,0,0,1,Graduate
18,8,4,5,11.25,12.5,0,0,0,1,Graduate
18,1,0,0,0.0,0.0,0,0,0,1,Dropout
33,12,6,6,12.833333333333334,12.857142857142858,0,0,0,1,Graduate
35,12,6,6,14.0,13.1,0,0,0,1,Graduate
18,1,6,6,13.5,12.5,0,0,0,1,Graduate
39,12,5,5,11.0,11.666666666666666,0,0,0,1,Graduate
44,12,6,6,13.0,13.833333333333334,0,0,0,1,Graduate
24,1,4,6,12.6,11.5,0,0,0,1,Dropout
20,14,6,6,13.666666666666666,13.333333333333334,0,0,1,1,Graduate
19,1,0,0,0.0,0.0,0,0,0,0,Dropout
18,1,6,7,14.2,14.2,1,0,1,1,Graduate
22,1,5,6,11.0,0.0,1,0,0,0,Dropout
18,8,6,6,15.0,16.428571428571427,0,0,0,1,Graduate
24,12,6,7,12.585714285714284,13.44285714285714,0,0,0,1,Graduate
33,12,0,5,0.0,0.0,0,0,0,1,Dropout
26,12,0,6,0.0,0.0,0,0,0,1,Dropout
18,8,6,6,11.666666666666666,11.833333333333334,0,0,0,1,Graduate
19,1,3,6,12.666666666666666,10.0,1,0,0,1,Dropout
22,17,8,11,13.5,13.714285714285714,0,0,1,1,Graduate
21,1,6,6,16.153846153846153,15.75,0,0,1,1,Graduate
21,1,6,7,14.033333333333331,14.033333333333331,0,0,1,1,Graduate
19,1,7,7,13.857142857142858,13.666666666666666,0,0,1,1,Graduate
18,1,7,8,13.414285714285716,13.414285714285716,0,0,0,1,Dropout
50,14,11,11,13.545454545454543,13.571428571428571,0,0,0,1,Graduate
19,8,6,6,13.833333333333334,14.428571428571429,0,0,1,1,Graduate
35,12,5,5,12.0,12.857142857142858,0,0,0,1,Graduate
31,12,0,6,0.0,0.0,0,0,0,1,Dropout
34,9,0,5,0.0,0.0,0,0,0,0,Dropout
18,1,7,7,15.135714285714286,15.287499999999998,0,0,1,1,Graduate
26,12,5,7,12.74,10.978571428571428,0,0,1,1,Dropout
19,1,6,6,13.428571428571429,13.166666666666666,0,0,1,1,Graduate
20,17,9,11,12.555555555555555,11.11111111111111,0,0,0,1,Graduate
19,1,6,6,11.5,11.166666666666666,0,0,0,1,Graduate
18,1,6,6,13.666666666666666,12.333333333333334,0,0,0,1,Graduate
28,12,11,14,11.272727272727272,12.0,0,0,0,1,Graduate
21,15,6,6,14.666666666666666,14.166666666666666,0,0,1,1,Graduate
18,1,5,6,13.0,11.4,1,0,0,0,Dropout
20,8,2,5,10.5,12.333333333333334,0,0,0,0,Dropout
18,8,6,6,14.857142857142858,14.0,0,0,0,1,Graduate
19,1,7,8,12.86,12.86,0,0,1,1,Graduate
20,16,11,11,11.727272727272728,12.0,0,0,0,1,Graduate
22,15,6,6,13.142857142857142,12.0,0,0,1,1,Graduate
18,8,5,6,11.8,13.714285714285714,1,0,0,1,Dropout
19,8,3,5,10.666666666666666,0.0,0,0,0,1,Dropout
19,8,7,8,14.731428571428571,14.731428571428571,0,0,0,1,Graduate
18,1,0,0,0.0,0.0,0,0,0,1,Graduate
21,4,13,13,13.615384615384617,14.25,0,0,0,1,Graduate
27,12,5,5,15.8,14.8,0,0,0,1,Graduate
19,8,6,6,14.666666666666666,14.571428571428571,0,0,0,1,Graduate
25,12,0,5,0.0,0.0,0,0,0,1,Dropout
18,1,7,8,14.654285714285717,14.654285714285717,0,0,1,1,Graduate
24,12,7,8,12.401428571428571,12.401428571428571,0,0,0,1,Graduate
20,1,7,7,11.5875,14.071428571428571,0,0,0,1,Graduate
26,4,5,5,14.0,15.6,0,0,0,1,Graduate
20,1,6,6,12.333333333333334,11.833333333333334,0,0,1,1,Graduate
18,1,5,5,14.0,15.4,0,0,0,1,Graduate
19,1,6,6,15.23076923076923,12.375,0,0,0,1,Graduate
23,1,5,6,11.6,11.0,0,0,0,1,Dropout
18,1,6,7,11.6,11.6,0,0,1,1,Graduate
18,1,0,7,0.0,0.0,0,0,0,1,Dropout
19,1,7,7,12.901428571428571,13.094444444444443,0,0,1,1,Graduate
30,13,7,7,14.142857142857142,14.8,0,0,0,1,Graduate
29,15,0,6,0.0,0.0,0,0,0,1,Dropout
19,1,8,8,13.25375,13.25375,0,0,0,1,Graduate
20,8,7,7,13.785714285714286,14.1,0,0,0,1,Graduate
20,1,6,7,13.916666666666666,13.916666666666666,0,0,0,1,Graduate
19,1,6,6,13.5,13.571428571428571,0,0,0,1,Graduate
21,1,0,5,0.0,0.0,0,0,0,1,Dropout
19,8,5,6,11.5,14.6,0,0,0,1,Graduate
18,1,7,8,12.082857142857142,12.082857142857142,0,0,1,1,Graduate
27,12,6,6,11.833333333333334,12.8,0,0,1,1,Graduate
19,8,5,5,13.4,12.4,0,0,1,1,Graduate
19,1,0,7,0.0,0.0,0,0,1,1,Dropout
19,1,5,6,14.2,14.571428571428571,0,0,0,1,Graduate
18,1,7,8,13.814285714285717,13.814285714285717,0,0,1,1,Graduate
18,1,6,6,14.5,13.666666666666666,0,0,1,1,Graduate
19,1,0,6,0.0,0.0,0,0,0,1,Dropout
36,12,6,7,11.3,11.3,0,0,0,1,Graduate
19,8,7,8,12.3,12.3,0,0,0,1,Graduate
18,1,7,8,12.694285714285714,12.694285714285714,0,0,1,1,Graduate
18,8,4,5,11.0,11.0,0,0,0,1,Graduate
19,1,6,6,13.0,14.166666666666666,0,0,1,1,Graduate
19,1,7,7,14.4125,16.05,0,0,1,1,Graduate
18,1,7,7,12.92875,14.0625,0,0,0,1,Dropout
20,1,6,6,13.333333333333334,12.8,0,0,0,1,Graduate
20,9,7,8,14.402857142857142,14.402857142857142,0,0,0,1,Graduate
18,1,7,8,13.381428571428572,13.381428571428572,0,0,1,1,Graduate
18,1,7,7,14.13125,13.98375,0,0,0,1,Graduate
19,8,5,5,11.714285714285714,12.6,0,0,0,1,Graduate
44,12,6,6,11.166666666666666,11.0,0,0,0,1,Graduate
32,4,0,6,0.0,0.0,0,0,0,1,Dropout
22,14,5,6,13.6,12.0,0,0,0,1,Dropout
36,12,12,12,13.846153846153848,14.090909090909092,0,0,0,1,Graduate
18,8,6,6,12.5,13.333333333333334,0,0,1,1,Graduate
20,1,5,5,16.4,14.6,0,0,0,1,Graduate
20,16,11,11,13.818181818181818,13.454545454545457,0,0,1,1,Graduate
19,8,5,6,10.6,10.5,0,0,0,1,Graduate
24,12,5,5,10.2,12.2,1,0,0,1,Graduate
27,14,9,10,11.444444444444445,10.8,0,0,0,1,Dropout
23,14,16,16,13.0,13.266666666666667,0,0,1,1,Graduate
18,1,8,8,13.31,13.31,0,0,1,1,Graduate
18,8,5,6,10.571428571428571,12.2,0,0,1,1,Graduate
20,8,7,8,13.487142857142857,13.487142857142857,0,0,1,1,Graduate
20,1,6,6,12.333333333333334,11.833333333333334,0,0,1,1,Graduate
23,1,6,6,11.875,12.833333333333334,0,0,0,1,Dropout
20,1,6,7,13.966666666666669,13.966666666666669,0,0,0,1,Graduate
28,12,0,5,0.0,0.0,0,0,0,0,Dropout
21,1,4,5,11.5,12.8,0,0,0,1,Graduate
21,1,2,2,12.5,0.0,0,0,0,1,Dropout
28,4,0,7,0.0,0.0,0,0,0,1,Dropout
18,1,6,7,11.98,13.225,0,0,0,1,Graduate
19,1,6,7,11.614285714285714,14.0375,0,0,0,1,Graduate
18,9,7,8,14.314285714285717,14.314285714285717,0,0,1,1,Graduate
19,1,0,7,0.0,0.0,0,0,0,1,Dropout
20,1,6,7,12.766666666666666,12.128571428571428,0,0,1,1,Graduate
18,8,6,6,12.666666666666666,12.2,0,0,1,1,Graduate
20,14,6,6,11.5,10.571428571428571,0,0,0,1,Dropout
31,12,5,6,11.4,11.75,0,0,0,1,Dropout
19,8,7,7,14.70625,14.4775,0,0,1,1,Graduate
19,1,6,7,11.814285714285717,13.542857142857144,0,0,1,1,Graduate
23,1,6,6,13.0,11.875,0,0,0,1,Graduate
19,1,6,6,14.857142857142858,13.333333333333334,0,0,0,1,Graduate
20,1,6,7,12.6,12.6,0,0,0,1,Graduate
27,4,2,5,11.5,11.0,1,0,0,0,Dropout
29,12,1,7,10.0,0.0,0,0,0,1,Dropout
18,8,5,6,11.8,12.2,0,0,0,1,Graduate
18,8,5,6,11.8,12.666666666666666,0,0,0,1,Graduate
18,8,8,8,12.77125,12.77125,0,0,0,1,Graduate
18,8,6,6,12.666666666666666,14.6,0,0,0,1,Graduate
28,4,1,5,12.0,0.0,0,0,0,0,Dropout
18,1,7,8,11.721428571428572,11.721428571428572,0,0,1,1,Graduate
18,1,6,6,12.666666666666666,13.666666666666666,0,0,0,1,Graduate
18,1,4,5,13.0,14.0,0,0,0,1,Dropout
21,1,0,5,0.0,0.0,0,0,0,1,Dropout
32,12,0,5,0.0,0.0,0,0,0,0,Dropout
28,12,4,5,12.5,11.75,0,0,0,1,Graduate
40,12,0,4,0.0,0.0,0,0,0,0,Dropout
39,9,0,5,0.0,0.0,1,0,0,0,Dropout
39,9,0,6,0.0,0.0,1,0,0,0,Dropout
50,12,6,6,12.5,12.4,0,0,0,1,Graduate
23,8,5,6,12.8,11.666666666666666,0,0,0,1,Dropout
48,12,1,6,10.0,11.0,0,0,0,1,Dropout
23,8,4,6,11.25,10.2,0,0,0,1,Dropout
18,1,7,8,12.61,12.61,0,0,1,1,Graduate
