admission_grade,displaced,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,curricular_units_1st_sem_enrolled,curricular_units_1st_sem_approved,curricular_units_1st_sem_grade,target
131.9,0,0,1,0,1,21,6,6,12.0,Graduate
126.0,1,0,1,1,0,29,7,5,11.9,Dropout
128.2,1,0,1,1,1,19,0,0,0.0,Graduate
130.0,1,0,1,1,0,23,6,6,12.571428571428571,Graduate
120.1,0,1,1,1,0,19,5,5,11.2,Dropout
130.8,0,0,1,1,0,24,7,7,11.975,Graduate
135.8,1,0,1,1,0,19,0,0,0.0,Dropout
111.7,1,0,1,1,0,18,6,3,11.666666666666666,Dropout
132.9,1,0,1,1,0,18,6,6,12.333333333333334,Graduate
115.5,1,1,1,1,0,18,5,3,10.333333333333334,Dropout
106.0,1,0,1,1,1,21,6,4,10.5,Dropout
120.3,1,1,1,1,1,19,6,6,13.666666666666666,Graduate
130.8,0,0,1,1,1,22,7,7,14.842857142857142,Graduate
117.0,0,0,1,1,0,33,6,6,12.0,Graduate
110.2,1,0,1,1,0,20,6,5,12.2,Dropout
155.7,1,0,1,1,0,35,1,0,0.0,Dropout
180.4,0,1,1,1,0,24,12,6,12.166666666666666,Dropout
110.0,1,0,1,0,0,33,6,6,11.0,Graduate
161.0,1,0,1,0,1,22,8,7,13.08,Graduate
100.0,0,0,1,0,1,25,5,4,10.5,Graduate
117.6,1,0,1,1,0,20,6,6,10.666666666666666,Graduate
100.8,0,0,1,1,0,24,7,0,0.0,Dropout
105.0,1,0,0,0,0,21,6,6,14.0,Graduate
100.0,0,0,1,0,0,26,6,2,12.0,Dropout
115.5,0,0,1,0,0,39,6,3,12.666666666666666,Dropout
114.0,0,0,1,0,0,44,8,8,11.875,Graduate
124.9,1,0,1,0,0,18,6,6,13.666666666666666,Graduate
120.3,1,0,1,0,1,18,7,7,13.75,Graduate
111.5,1,1,0,0,0,19,7,4,11.96,Dropout
128.8,0,0,1,0,0,21,10,8,12.875,Dropout
110.0,1,0,1,0,0,20,0,0,0.0,Graduate
113.5,1,0,1,0,0,36,6,0,0.0,Dropout
160.0,0,0,1,0,0,43,18,18,14.63157894736842,Graduate
117.4,1,0,1,0,0,19,6,0,0.0,Dropout
122.2,0,1,1,0,0,20,10,10,13.0,Graduate
118.2,1,0,1,0,0,19,6,0,0.0,Dropout
106.7,1,0,1,0,0,20,6,4,14.2,Dropout
108.2,1,0,1,0,0,20,7,6,13.266666666666666,Dropout
136.1,1,0,1,0,0,18,6,6,13.857142857142858,Graduate
139.8,1,0,1,0,0,19,5,5,13.4,Graduate
157.0,1,0,1,0,0,18,6,6,12.666666666666666,Graduate
131.0,1,0,1,0,0,18,7,6,12.516666666666666,Dropout
137.0,0,0,1,0,0,18,5,5,13.142857142857142,Graduate
121.8,0,0,1,0,0,18,5,5,12.6,Graduate
131.0,1,0,1,0,0,21,6,3,11.0,Dropout
118.6,1,0,1,0,0,19,5,5,10.8,Graduate
122.3,0,0,1,0,0,19,0,0,0.0,Dropout
127.9,0,0,1,0,1,19,5,5,12.8,Graduate
121.3,1,0,1,0,0,19,6,6,14.166666666666666,Graduate
117.1,1,0,1,0,0,19,7,5,12.1,Dropout
160.0,1,0,1,0,0,20,6,6,14.166666666666666,Graduate
122.6,1,0,1,0,0,18,6,6,13.0,Graduate
128.0,1,0,1,0,0,19,7,7,13.467142857142855,Graduate
124.9,1,0,1,0,1,18,7,7,13.2375,Dropout
123.7,1,0,1,0,0,18,6,6,12.333333333333334,Graduate
120.1,1,0,1,0,0,19,5,5,12.4,Graduate
131.7,1,0,1,0,0,19,7,5,14.0,Dropout
133.2,0,0,1,0,0,20,9,9,11.666666666666666,Graduate
109.3,0,1,0,0,1,19,6,5,12.0,Dropout
113.0,1,0,1,0,0,20,5,4,12.2,Graduate
157.9,0,1,1,0,1,18,6,6,14.833333333333334,Graduate
174.7,0,0,1,0,0,18,7,7,17.125,Graduate
128.8,1,0,1,0,0,19,7,6,12.666666666666666,Graduate
110.1,1,0,1,0,1,19,6,6,12.666666666666666,Graduate
121.0,1,0,1,0,1,19,6,6,11.333333333333334,Graduate
131.7,1,0,1,0,1,19,7,7,13.605,Graduate
119.1,1,0,1,0,1,19,6,5,12.0,Graduate
124.7,1,0,1,0,0,19,5,0,0.0,Dropout
117.2,1,0,1,0,0,20,6,5,11.2,Dropout
128.8,0,0,1,0,0,18,5,5,13.375,Graduate
131.5,0,0,1,0,1,20,7,6,13.863333333333337,Graduate
123.4,0,0,1,0,0,19,5,5,12.4,Graduate
132.8,1,0,1,0,0,18,6,6,13.333333333333334,Graduate
108.7,1,0,1,0,0,21,6,3,12.666666666666666,Dropout
138.1,0,0,1,0,0,19,6,6,12.0,Dropout
126.5,0,0,1,0,1,18,5,5,10.6,Graduate
127.4,1,0,1,0,1,18,6,6,12.25,Graduate
123.6,1,0,1,0,0,20,6,4,11.0,Graduate
122.0,0,0,1,0,1,24,6,5,11.0,Graduate
118.2,0,0,1,0,0,19,6,6,13.166666666666666,Dropout
123.9,1,0,1,0,1,18,7,7,12.855555555555554,Graduate
125.8,1,0,1,0,0,18,7,7,14.91875,Graduate
123.3,1,0,1,0,0,21,6,4,11.5,Dropout
124.4,0,0,1,0,0,19,5,5,14.2,Graduate
126.0,0,0,1,0,1,19,6,6,12.5,Graduate
121.5,0,0,1,0,0,19,6,5,11.666666666666666,Graduate
130.0,0,0,1,0,0,29,8,7,14.257142857142856,Graduate
117.0,1,0,1,0,0,21,6,3,12.0,Dropout
108.0,0,0,1,0,0,20,7,7,12.457142857142856,Graduate
132.3,1,0,1,0,0,19,7,6,11.683333333333332,Graduate
148.0,0,0,1,0,0,26,6,3,11.666666666666666,Graduate
122.6,1,1,0,0,0,20,6,4,11.75,Dropout
102.5,0,0,1,0,0,27,6,5,13.2,Graduate
113.3,1,0,1,0,0,20,7,4,11.95,Dropout
133.0,1,0,1,0,0,18,6,5,12.4,Dropout
140.0,0,0,1,0,0,33,7,6,14.35,Dropout
128.3,1,0,1,0,0,35,21,21,12.61904761904762,Graduate
104.0,0,1,0,0,0,27,6,5,12.0,Dropout
122.3,1,0,0,0,0,19,6,6,12.166666666666666,Dropout
135.0,0,0,1,0,0,20,6,0,0.0,Dropout
119.1,1,1,0,0,0,20,5,3,10.0,Dropout
129.0,1,0,1,0,1,18,7,6,13.05,Graduate
162.3,1,0,1,0,0,24,6,2,11.0,Dropout
163.4,1,0,1,0,0,20,6,6,11.5,Graduate
121.5,0,0,1,0,1,21,6,6,12.0,Graduate
118.0,1,0,1,0,0,24,5,0,0.0,Dropout
134.0,0,0,1,0,0,21,6,0,0.0,Dropout
129.8,1,0,1,0,0,18,8,7,12.242857142857144,Graduate
152.0,1,0,1,0,0,27,5,0,0.0,Dropout
122.8,1,0,1,0,0,18,8,8,12.93375,Graduate
150.0,0,0,1,0,0,35,5,0,0.0,Dropout
131.8,0,0,1,0,0,18,7,7,12.571428571428571,Graduate
132.1,1,0,1,0,0,19,5,4,13.75,Graduate
127.4,1,0,1,0,0,20,6,6,11.166666666666666,Graduate
129.5,1,0,1,0,0,18,8,7,12.324285714285711,Graduate
126.7,0,1,1,0,0,21,6,6,12.166666666666666,Graduate
116.5,0,0,1,0,1,18,6,5,11.142857142857142,Graduate
119.1,1,0,1,0,0,18,6,4,11.0,Graduate
126.5,1,0,1,0,0,18,8,7,12.914285714285713,Graduate
149.8,1,0,1,0,1,18,6,6,13.833333333333334,Graduate
115.1,1,0,1,0,0,19,6,6,13.857142857142858,Graduate
124.5,0,0,1,0,1,36,6,6,13.714285714285714,Dropout
128.3,1,0,1,0,1,18,8,7,12.642857142857142,Graduate
136.0,0,0,1,0,1,18,7,6,12.916666666666666,Graduate
140.0,1,0,1,0,1,20,6,6,15.625,Graduate
126.3,0,0,1,0,1,26,5,0,0.0,Dropout
126.9,0,0,1,0,0,21,6,6,11.714285714285714,Graduate
115.8,1,0,1,0,1,19,5,5,11.6,Graduate
100.0,1,0,1,0,0,24,6,1,10.0,Dropout
102.5,0,0,1,0,1,27,6,1,10.0,Dropout
131.5,0,0,1,0,0,21,5,0,0.0,Dropout
147.0,0,0,1,0,1,18,5,4,13.0,Graduate
122.5,0,0,1,0,1,19,6,6,13.333333333333334,Graduate
117.5,1,0,1,0,0,18,6,4,11.25,Dropout
150.0,0,0,1,0,1,19,7,5,13.85,Graduate
127.5,1,0,1,0,1,19,7,6,13.741666666666667,Graduate
140.0,0,0,1,0,0,33,6,6,15.333333333333334,Graduate
130.0,0,0,1,0,0,45,5,5,11.0,Graduate
133.3,0,0,1,0,1,20,6,6,12.0,Graduate
97.0,1,0,1,0,0,28,5,0,0.0,Dropout
112.0,1,0,1,0,1,19,8,7,11.571428571428571,Graduate
123.6,1,0,1,0,0,18,6,6,12.857142857142858,Graduate
130.5,0,0,1,0,0,38,6,0,0.0,Dropout
133.3,0,0,1,0,0,19,5,5,13.0,Graduate
132.1,0,0,1,0,1,21,6,5,11.0,Graduate
100.0,0,0,1,0,0,21,5,3,12.0,Dropout
140.4,0,0,1,0,1,22,6,5,12.6,Graduate
141.7,0,0,1,0,1,18,6,5,13.4,Graduate
119.7,0,0,1,0,1,18,6,6,11.333333333333334,Graduate
122.5,1,0,0,0,0,25,5,4,13.5,Dropout
140.0,0,1,0,0,0,24,6,3,11.75,Dropout
119.1,1,0,1,0,1,20,5,5,11.6,Graduate
122.7,0,0,0,0,0,25,5,0,0.0,Dropout
117.9,0,0,1,0,1,20,10,9,12.9,Graduate
130.0,0,0,1,0,0,23,8,8,13.22,Graduate
120.0,1,0,1,0,1,19,8,7,13.151428571428571,Graduate
130.0,0,1,0,0,0,29,6,3,12.75,Dropout
116.8,1,0,1,0,0,21,6,6,11.333333333333334,Graduate
123.4,1,0,1,0,1,18,6,6,13.25,Graduate
127.2,1,0,1,0,1,18,6,6,15.0,Dropout
103.4,0,0,1,0,0,19,5,5,14.4,Graduate
124.1,0,0,1,0,0,18,5,5,12.4,Graduate
99.5,1,1,0,0,1,37,7,1,16.0,Dropout
124.9,0,0,1,0,0,29,5,5,13.571428571428571,Graduate
118.9,1,0,1,0,1,19,6,5,11.666666666666666,Graduate
118.8,1,1,0,0,0,22,10,6,11.833333333333334,Dropout
137.0,0,0,1,0,1,20,6,6,11.166666666666666,Graduate
100.0,0,0,1,0,0,34,6,0,0.0,Dropout
120.0,0,1,0,0,0,30,12,8,11.75,Dropout
122.8,0,0,1,0,0,18,6,6,14.0,Graduate
121.6,0,0,1,0,0,18,6,6,12.833333333333334,Graduate
149.2,1,0,1,0,0,18,6,4,12.25,Graduate
140.0,1,0,1,0,0,18,8,7,14.828571428571427,Graduate
133.4,1,0,1,0,1,19,6,5,11.4,Graduate
126.2,1,0,1,0,1,19,6,6,13.0,Graduate
127.8,0,0,1,0,1,18,8,7,13.671428571428573,Graduate
150.0,0,0,1,0,1,21,6,6,12.666666666666666,Graduate
113.7,1,0,0,0,0,20,5,2,10.0,Dropout
117.8,1,0,1,0,0,20,5,5,13.5,Graduate
136.7,0,0,1,0,0,19,7,7,12.67,Graduate
144.7,0,0,1,0,0,20,6,6,14.5,Graduate
139.8,1,0,1,0,0,18,7,7,13.685714285714283,Graduate
113.7,0,0,1,0,0,20,6,5,11.0,Dropout
140.0,0,1,0,0,0,29,9,7,11.555555555555555,Dropout
119.6,1,0,1,0,1,20,7,7,14.00375,Graduate
123.7,1,0,1,0,1,22,5,4,12.0,Graduate
143.0,1,0,1,0,1,47,6,5,14.166666666666666,Graduate
100.1,0,0,1,0,0,31,5,5,14.0,Graduate
119.4,0,0,1,0,1,21,6,5,13.8,Graduate
122.1,0,0,1,0,0,21,6,5,12.8,Graduate
100.0,0,0,1,0,0,24,6,6,12.166666666666666,Graduate
101.0,0,0,1,0,0,32,6,4,12.0,Graduate
111.8,1,0,1,0,1,19,6,6,10.833333333333334,Graduate
140.0,1,0,1,0,0,24,8,8,13.385,Graduate
124.4,1,0,1,0,0,19,6,6,15.666666666666666,Graduate
150.0,0,1,1,0,1,19,6,6,14.333333333333334,Graduate
116.0,1,0,1,0,1,18,6,6,11.666666666666666,Graduate
135.6,1,0,1,0,1,19,6,5,12.0,Dropout
121.0,0,0,1,0,1,19,8,7,14.725714285714288,Graduate
118.7,1,0,1,0,1,18,6,6,14.166666666666666,Graduate
125.7,1,0,1,0,0,18,6,6,11.571428571428571,Graduate
107.1,1,0,1,0,0,20,7,7,12.5,Graduate
125.5,0,0,1,0,0,18,8,8,12.86,Graduate
127.0,1,0,1,0,0,18,6,6,12.25,Graduate
113.5,1,0,1,0,1,21,5,4,12.0,Graduate
154.4,0,0,1,0,1,18,7,7,15.116666666666667,Graduate
122.0,0,1,0,0,0,18,5,2,12.5,Dropout
128.0,1,0,1,0,0,19,6,0,0.0,Dropout
117.2,1,0,1,0,0,18,6,6,11.875,Graduate
150.0,1,0,1,0,0,34,5,1,11.0,Dropout
155.3,0,0,1,0,0,19,5,5,15.2,Graduate
120.0,1,1,0,0,0,19,6,5,11.6,Dropout
116.1,0,1,1,0,0,26,6,6,14.833333333333334,Graduate
118.9,1,0,1,0,0,21,6,3,11.333333333333334,Dropout
127.3,0,0,1,0,1,18,5,5,11.2,Graduate
113.7,1,0,1,0,1,20,6,5,13.4,Graduate
118.5,0,0,1,0,0,25,5,2,10.5,Dropout
146.7,0,0,1,0,0,18,5,5,16.2,Graduate
124.3,1,0,1,0,1,18,7,7,14.542857142857144,Graduate
137.8,0,0,1,0,0,19,7,7,13.694285714285714,Graduate
130.2,0,0,1,0,1,18,6,6,11.285714285714286,Graduate
150.0,0,1,0,0,0,26,3,0,0.0,Dropout
100.0,1,0,1,0,1,19,8,7,13.058571428571428,Graduate
155.6,0,0,1,0,0,19,7,7,14.3,Graduate
117.4,0,0,1,0,0,19,10,5,11.8,Graduate
117.5,1,0,1,0,0,18,6,6,10.571428571428571,Graduate
120.4,1,0,1,0,0,19,7,6,13.333333333333334,Graduate
130.9,0,1,1,0,0,18,6,6,11.857142857142858,Graduate
151.0,0,1,1,0,0,26,5,0,0.0,Dropout
103.5,1,0,1,0,0,20,6,6,12.0,Graduate
119.4,0,0,1,0,0,19,6,6,12.666666666666666,Graduate
134.4,1,0,1,0,1,18,6,6,12.166666666666666,Graduate
143.0,0,0,1,0,0,19,6,6,13.333333333333334,Graduate
110.0,0,1,1,0,0,40,7,7,15.0,Graduate
132.5,1,0,1,0,1,18,8,8,13.39125,Graduate
114.7,0,0,1,0,0,19,6,5,12.166666666666666,Graduate
166.9,0,0,1,0,0,18,5,4,11.25,Graduate
178.3,1,0,1,0,0,18,0,0,0.0,Dropout
117.0,1,0,1,0,0,33,6,6,12.833333333333334,Graduate
150.0,0,0,1,0,0,35,6,6,14.0,Graduate
135.1,1,0,1,0,0,18,6,6,13.5,Graduate
136.2,0,0,1,0,0,39,5,5,11.0,Graduate
116.0,0,0,1,0,0,44,6,6,13.0,Graduate
116.3,1,0,1,0,0,24,6,4,12.6,Dropout
134.0,0,0,1,0,1,20,6,6,13.666666666666666,Graduate
124.2,1,0,0,0,0,19,0,0,0.0,Dropout
134.5,0,1,1,0,1,18,7,6,14.2,Graduate
120.7,0,1,0,0,0,22,6,5,11.0,Dropout
127.1,1,0,1,0,0,18,6,6,15.0,Graduate
133.0,0,0,1,0,0,24,7,6,12.585714285714284,Graduate
128.2,0,0,1,0,0,33,5,0,0.0,Dropout
172.0,0,0,1,0,0,26,6,0,0.0,Dropout
128.5,1,0,1,0,0,18,6,6,11.666666666666666,Graduate
128.5,0,1,1,0,0,19,6,3,12.666666666666666,Dropout
142.5,1,0,1,0,1,22,11,8,13.5,Graduate
106.0,1,0,1,0,1,21,6,6,16.153846153846153,Graduate
125.5,1,0,1,0,1,21,7,6,14.033333333333331,Graduate
112.9,1,0,1,0,1,19,7,7,13.857142857142858,Graduate
124.8,1,0,1,0,0,18,8,7,13.414285714285716,Dropout
140.9,0,0,1,0,0,50,11,11,13.545454545454543,Graduate
148.4,0,0,1,0,1,19,6,6,13.833333333333334,Graduate
129.7,0,0,1,0,0,35,5,5,12.0,Graduate
128.2,0,0,1,0,0,31,6,0,0.0,Dropout
119.9,1,0,0,0,0,34,5,0,0.0,Dropout
141.0,1,0,1,0,1,18,7,7,15.135714285714286,Graduate
140.0,0,0,1,0,1,26,7,5,12.74,Dropout
117.0,0,0,1,0,1,19,6,6,13.428571428571429,Graduate
140.2,0,0,1,0,0,20,11,9,12.555555555555555,Graduate
129.3,0,0,1,0,0,19,6,6,11.5,Graduate
145.3,0,0,1,0,0,18,6,6,13.666666666666666,Graduate
146.2,0,0,1,0,0,28,14,11,11.272727272727272,Graduate
156.1,0,0,1,0,1,21,6,6,14.666666666666666,Graduate
128.4,1,1,0,0,0,18,6,5,13.0,Dropout
115.0,0,0,0,0,0,20,5,2,10.5,Dropout
158.7,0,0,1,0,0,18,6,6,14.857142857142858,Graduate
124.5,1,0,1,0,1,19,8,7,12.86,Graduate
111.9,1,0,1,0,0,20,11,11,11.727272727272728,Graduate
150.0,1,0,1,0,1,22,6,6,13.142857142857142,Graduate
114.2,1,1,1,0,0,18,6,5,11.8,Dropout
96.0,1,0,1,0,0,19,5,3,10.666666666666666,Dropout
131.3,1,0,1,0,0,19,8,7,14.731428571428571,Graduate
137.1,1,0,1,0,0,18,0,0,0.0,Graduate
120.0,1,0,1,0,0,21,13,13,13.615384615384617,Graduate
139.0,0,0,1,0,0,27,5,5,15.8,Graduate
129.1,0,0,1,0,0,19,6,6,14.666666666666666,Graduate
128.2,0,0,1,0,0,25,5,0,0.0,Dropout
120.8,1,0,1,0,1,18,8,7,14.654285714285717,Graduate
135.8,0,0,1,0,0,24,8,7,12.401428571428571,Graduate
118.9,1,0,1,0,0,20,7,7,11.5875,Graduate
140.0,0,0,1,0,0,26,5,5,14.0,Graduate
127.1,1,0,1,0,1,20,6,6,12.333333333333334,Graduate
137.0,0,0,1,0,0,18,5,5,14.0,Graduate
127.4,1,0,1,0,0,19,6,6,15.23076923076923,Graduate
97.0,1,0,1,0,0,23,6,5,11.6,Dropout
126.3,1,0,1,0,1,18,7,6,11.6,Graduate
127.5,0,0,1,0,0,18,7,0,0.0,Dropout
126.6,0,0,1,0,1,19,7,7,12.901428571428571,Graduate
120.0,0,0,1,0,0,30,7,7,14.142857142857142,Graduate
140.0,1,0,1,0,0,29,6,0,0.0,Dropout
131.5,1,0,1,0,0,19,8,8,13.25375,Graduate
112.2,1,0,1,0,0,20,7,7,13.785714285714286,Graduate
150.5,0,0,1,0,0,20,7,6,13.916666666666666,Graduate
121.0,1,0,1,0,0,19,6,6,13.5,Graduate
129.4,1,0,1,0,0,21,5,0,0.0,Dropout
114.4,0,0,1,0,0,19,6,5,11.5,Graduate
120.3,1,0,1,0,1,18,8,7,12.082857142857142,Graduate
120.0,0,0,1,0,1,27,6,6,11.833333333333334,Graduate
114.5,1,0,1,0,1,19,5,5,13.4,Graduate
127.8,0,0,1,0,1,19,7,0,0.0,Dropout
124.6,1,0,1,0,0,19,6,5,14.2,Graduate
130.3,1,0,1,0,1,18,8,7,13.814285714285717,Graduate
118.8,0,0,1,0,1,18,6,6,14.5,Graduate
133.0,1,0,1,0,0,19,6,0,0.0,Dropout
129.0,1,0,1,0,0,36,7,6,11.3,Graduate
132.5,1,0,1,0,0,19,8,7,12.3,Graduate
120.3,1,0,1,0,1,18,8,7,12.694285714285714,Graduate
114.6,0,0,1,0,0,18,5,4,11.0,Graduate
116.5,1,0,1,0,1,19,6,6,13.0,Graduate
127.8,0,0,1,0,1,19,7,7,14.4125,Graduate
129.9,1,0,1,0,0,18,7,7,12.92875,Dropout
118.9,1,0,1,0,0,20,6,6,13.333333333333334,Graduate
114.8,1,0,1,0,0,20,8,7,14.402857142857142,Graduate
123.0,1,0,1,0,1,18,8,7,13.381428571428572,Graduate
122.1,1,0,1,0,0,18,7,7,14.13125,Graduate
123.7,0,0,1,0,0,19,5,5,11.714285714285714,Graduate
114.8,0,0,1,0,0,44,6,6,11.166666666666666,Graduate
130.0,0,0,1,0,0,32,6,0,0.0,Dropout
122.3,0,0,1,0,0,22,6,5,13.6,Dropout
152.4,1,0,1,0,0,36,12,12,13.846153846153848,Graduate
120.1,0,0,1,0,1,18,6,6,12.5,Graduate
155.1,1,0,1,0,0,20,5,5,16.4,Graduate
124.5,0,0,1,0,1,20,11,11,13.818181818181818,Graduate
126.9,0,0,1,0,0,19,6,5,10.6,Graduate
153.2,1,1,1,0,0,24,5,5,10.2,Graduate
135.0,0,0,1,0,0,27,10,9,11.444444444444445,Dropout
125.2,0,0,1,0,1,23,16,16,13.0,Graduate
141.3,1,0,1,0,1,18,8,8,13.31,Graduate
117.1,1,0,1,0,1,18,6,5,10.571428571428571,Graduate
126.5,1,0,1,0,1,20,8,7,13.487142857142857,Graduate
120.1,0,0,1,0,1,20,6,6,12.333333333333334,Graduate
128.4,0,0,1,0,0,23,6,6,11.875,Dropout
140.0,1,0,1,0,0,20,7,6,13.966666666666669,Graduate
110.0,1,0,0,0,0,28,5,0,0.0,Dropout
116.8,1,0,1,0,0,21,5,4,11.5,Graduate
104.5,1,0,1,0,0,21,2,2,12.5,Dropout
140.0,0,0,1,0,0,28,7,0,0.0,Dropout
113.2,0,0,1,0,0,18,7,6,11.98,Graduate
123.8,0,0,1,0,0,19,7,6,11.614285714285714,Graduate
126.7,1,0,1,0,1,18,8,7,14.314285714285717,Graduate
133.8,0,0,1,0,0,19,7,0,0.0,Dropout
100.6,1,0,1,0,1,20,7,6,12.766666666666666,Graduate
132.7,0,0,1,0,1,18,6,6,12.666666666666666,Graduate
106.6,1,0,1,0,0,20,6,6,11.5,Dropout
140.4,0,0,1,0,0,31,6,5,11.4,Dropout
128.3,1,0,1,0,1,19,7,7,14.70625,Graduate
118.6,1,0,1,0,1,19,7,6,11.814285714285717,Graduate
123.4,0,0,1,0,0,23,6,6,13.0,Graduate
124.0,0,0,1,0,0,19,6,6,14.857142857142858,Graduate
121.3,1,0,1,0,0,20,7,6,12.6,Graduate
130.0,0,1,0,0,0,27,5,2,11.5,Dropout
120.0,0,0,1,0,0,29,7,1,10.0,Dropout
130.4,1,0,1,0,0,18,6,5,11.8,Graduate
118.7,0,0,1,0,0,18,6,5,11.8,Graduate
131.5,0,0,1,0,0,18,8,8,12.77125,Graduate
129.1,1,0,1,0,0,18,6,6,12.666666666666666,Graduate
130.0,0,0,0,0,0,28,5,1,12.0,Dropout
132.8,1,0,1,0,1,18,8,7,11.721428571428572,Graduate
133.5,1,0,1,0,0,18,6,6,12.666666666666666,Graduate
146.2,0,0,1,0,0,18,5,4,13.0,Dropout
115.2,0,0,1,0,0,21,5,0,0.0,Dropout
101.8,0,0,0,0,0,32,5,0,0.0,Dropout
100.0,0,0,1,0,0,28,5,4,12.5,Graduate
121.9,0,0,0,0,0,40,4,0,0.0,Dropout
120.4,0,1,0,0,0,39,5,0,0.0,Dropout
120.4,0,1,0,0,0,39,6,0,0.0,Dropout
148.8,0,0,1,0,0,50,6,6,12.5,Graduate
123.0,1,0,1,0,0,23,6,5,12.8,Dropout
100.0,0,0,1,0,0,48,6,1,10.0,Dropout
112.1,1,0,1,0,0,23,6,4,11.25,Dropout
126.8,1,0,1,0,1,18,8,7,12.61,Graduate
115.9,0,0,1,0,0,18,5,2,12.0,Graduate
132.5,1,0,0,0,0,20,6,5,13.0,Graduate
132.2,1,0,1,0,1,18,5,4,12.0,Graduate
183.5,1,0,1,0,0,18,7,4,12.0,Dropout
136.0,0,0,1,1,0,31,5,1,12.0,Dropout
114.5,1,0,1,1,0,24,0,0,0.0,Graduate
110.3,0,1,0,1,0,26,5,0,0.0,Dropout
137.2,1,1,1,1,0,18,6,5,13.625,Dropout
121.8,1,0,1,1,0,22,6,0,0.0,Dropout
127.3,1,0,1,1,0,18,8,7,11.69,Graduate
120.0,0,1,0,1,0,20,6,0,0.0,Dropout
150.0,0,0,1,1,0,25,0,0,0.0,Graduate
100.0,1,0,1,1,0,24,5,4,11.5,Graduate
150.0,1,0,1,1,0,27,5,1,14.0,Dropout
116.9,0,0,1,1,0,21,6,5,11.0,Graduate
140.0,1,0,1,1,0,21,6,6,12.857142857142858,Graduate
122.1,1,0,1,1,0,19,6,4,12.5,Dropout
160.0,0,0,1,1,0,28,7,7,14.528571428571428,Graduate
150.0,0,0,1,1,1,21,6,6,13.0,Graduate
144.9,0,0,1,1,1,18,7,7,15.957142857142856,Graduate
116.3,1,0,1,1,0,19,5,5,13.25,Graduate
122.5,1,0,1,1,0,19,5,3,12.0,Dropout
115.0,1,1,0,1,0,25,6,4,13.0,Dropout
