Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nationality,Mother's qualification,Father's qualification,Mother's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Previous qualification (grade),Admission grade,Target
1,1,6,12,1,1,1,13,14,10,0,0,0,1,0,0,18,0,0,7,7,7,13.557142857142855,0,9,13.2,0,12.4,0.5,1.79,,,Graduate
1,1,1,9238,1,1,1,38,38,9,1,0,0,1,1,0,18,0,0,6,9,5,11.0,0,12,0.0,0,11.1,0.6,2.02,116.0,108.7,Dropout
1,8,3,10,1,1,1,13,14,8,1,0,0,1,0,0,19,0,0,6,7,5,10.8,0,9,10.166666666666666,0,8.9,1.4,3.51,,,Graduate
1,1,1,9147,1,1,1,38,19,9,0,0,0,1,1,0,18,0,0,5,11,2,13.5,0,11,12.333333333333334,0,8.9,1.4,3.51,135.0,126.3,Enrolled
1,8,1,8,1,1,1,13,14,5,1,0,0,1,0,0,19,0,0,6,8,6,11.333333333333334,0,12,13.75,0,8.9,1.4,3.51,,,Dropout
1,9,2,9,1,1,1,13,28,10,1,0,0,1,0,1,18,0,0,5,8,5,13.75,0,6,12.166666666666666,0,13.9,-0.3,0.79,,,Graduate
1,1,2,12,1,1,1,23,28,10,1,0,0,1,0,0,19,0,0,7,7,6,12.766666666666666,0,7,12.766666666666666,0,7.6,2.6,0.32,,,Graduate
1,8,1,6,1,1,1,23,14,12,0,0,0,1,0,0,19,0,0,5,7,3,12.0,0,7,13.2,0,7.6,2.6,0.32,,,Graduate
1,1,1,12,1,1,1,13,14,5,0,0,0,1,0,0,18,0,0,8,8,7,13.485714285714284,0,8,13.485714285714284,0,12.7,3.7,-1.7,,,Graduate
1,17,1,14,1,16,1,1,14,10,0,0,0,1,1,1,23,0,0,6,7,5,13.0,0,7,12.857142857142858,0,8.9,1.4,3.51,,,Graduate
1,12,2,13,1,1,1,1,1,10,0,0,0,1,1,0,24,0,0,7,18,0,0.0,0,13,0.0,1,11.1,0.6,2.02,,,Dropout
1,14,1,17,0,1,1,3,14,2,0,0,0,0,1,0,40,0,0,5,5,0,0.0,0,6,0.0,0,10.8,1.4,1.74,,,Dropout
1,1,1,9130,1,1,1,3,1,2,1,0,1,1,0,0,18,0,0,6,13,6,10.857142857142858,0,10,11.0,0,15.5,2.8,-4.06,144.0,134.9,Dropout
1,8,4,11,1,1,1,1,1,5,1,0,0,1,1,0,19,0,0,6,7,5,12.2,0,12,12.0,0,7.6,2.6,0.32,,,Enrolled
1,18,3,9500,1,1,1,1,1,4,1,0,0,1,0,0,18,0,0,7,8,7,13.087142857142856,0,8,12.95,0,11.1,0.6,2.02,145.0,133.6,Graduate
1,43,1,9085,1,1,25,38,38,9,1,0,0,1,1,0,28,1,13,18,45,18,12.5,12,26,11.428571428571429,6,15.5,2.8,-4.06,110.0,117.2,Graduate
1,17,1,9147,1,1,1,3,38,3,1,0,0,1,1,0,18,0,0,5,13,5,12.0,0,9,11.4,0,13.9,-0.3,0.79,120.0,124.2,Enrolled
1,1,1,171,1,1,1,1,1,4,0,0,0,1,1,0,19,0,0,0,0,0,0.0,0,0,0.0,0,7.6,2.6,0.32,138.0,141.5,Graduate
1,1,2,9670,1,1,1,1,3,4,0,0,0,1,0,0,19,0,0,5,5,5,13.0,0,5,13.2,0,9.4,-0.8,-3.12,135.0,133.3,Graduate
1,1,2,9500,1,1,1,3,37,4,1,0,0,1,0,1,19,0,0,7,8,6,13.075,0,10,12.05,0,12.4,0.5,1.79,120.0,115.1,Graduate
1,1,3,15,1,1,1,13,28,9,1,0,1,1,1,0,18,0,0,6,6,6,13.0,0,7,11.8,0,12.7,3.7,-1.7,,,Dropout
2,1,1,9500,1,1,1,1,1,9,0,0,0,1,0,0,18,0,0,8,8,7,13.9,0,8,13.9,0,12.7,3.7,-1.7,156.0,135.5,Graduate
1,1,1,10,1,1,1,13,28,6,0,0,0,1,0,1,18,0,0,6,8,6,11.285714285714286,0,10,11.857142857142858,0,12.4,0.5,1.79,,,Graduate
1,14,1,10,1,1,1,22,27,10,0,0,0,1,0,0,36,0,10,16,24,13,10.692307692307692,1,19,12.307692307692308,0,15.5,2.8,-4.06,,,Enrolled
1,1,2,9070,1,1,1,1,1,4,1,0,0,1,0,0,19,0,0,6,6,6,11.833333333333334,0,7,13.0,0,9.4,-0.8,-3.12,135.0,129.8,Graduate
1,8,2,16,1,1,1,3,1,3,1,0,0,1,0,0,18,0,0,6,7,2,14.5,0,6,10.0,0,15.5,2.8,-4.06,,,Dropout
1,9,1,14,1,1,1,1,1,10,1,0,0,1,0,1,19,0,0,6,7,6,13.0,0,6,14.333333333333334,0,12.4,0.5,1.79,,,Graduate
1,39,1,9500,1,1,1,38,3,9,0,0,0,1,1,0,24,0,0,7,11,7,11.294444444444444,0,22,12.6,0,15.5,2.8,-4.06,150.0,140.0,Graduate
1,17,2,9500,1,1,1,19,37,3,1,0,0,0,0,1,20,0,0,7,7,7,13.462857142857144,0,10,13.164285714285716,0,11.1,0.6,2.02,132.0,125.4,Enrolled
1,17,1,9119,1,1,1,19,1,5,1,0,0,1,1,0,20,0,0,5,7,5,15.8,0,7,14.571428571428571,0,11.1,0.6,2.02,125.0,121.5,Dropout
2,39,1,9991,0,1,1,36,14,9,1,0,0,1,1,0,41,0,0,5,9,4,10.75,0,7,10.0,0,9.4,-0.8,-3.12,140.0,130.0,Dropout
1,44,1,9238,1,39,1,1,1,3,0,0,0,1,0,1,20,0,3,6,6,6,12.833333333333334,0,6,12.833333333333334,0,13.9,-0.3,0.79,140.0,141.7,Graduate
1,8,4,11,1,1,1,13,1,6,1,0,0,1,1,0,18,0,0,6,7,4,11.0,0,7,11.25,0,16.2,0.3,-0.92,,,Dropout
1,1,3,11,1,1,1,1,1,4,1,0,0,1,0,0,18,0,0,6,9,4,11.25,0,13,12.5,0,9.4,-0.8,-3.12,,,Dropout
1,17,4,9670,1,1,1,1,1,4,0,0,0,0,0,0,19,0,0,6,7,3,12.666666666666666,0,10,13.125,0,10.8,1.4,1.74,126.0,115.2,Dropout
1,1,2,9500,1,1,1,1,1,4,1,0,0,1,0,0,19,0,0,8,8,7,12.764285714285714,0,8,12.764285714285714,0,10.8,1.4,1.74,140.0,128.3,Graduate
1,12,1,6,1,12,1,13,14,10,0,0,1,0,0,0,24,0,2,6,11,3,11.75,0,14,10.333333333333334,0,16.2,0.3,-0.92,,,Dropout
1,44,1,9003,1,39,1,19,37,6,0,0,1,1,0,1,19,0,0,6,9,6,14.333333333333334,0,7,13.833333333333334,0,13.9,-0.3,0.79,150.0,150.0,Graduate
1,44,1,9003,1,39,1,37,37,9,0,0,1,0,0,0,29,0,0,6,13,3,12.75,0,8,11.333333333333334,0,13.9,-0.3,0.79,130.0,130.0,Dropout
1,17,2,9147,1,1,1,1,19,4,1,0,0,1,0,0,21,0,0,5,10,4,11.75,0,6,11.6,0,12.4,0.5,1.79,131.0,120.2,Graduate
1,1,1,9147,1,1,1,38,1,3,1,0,0,1,1,0,19,0,0,5,5,5,13.8,0,7,12.4,0,9.4,-0.8,-3.12,125.0,114.5,Graduate
1,1,5,9500,1,1,1,3,4,4,1,0,0,1,0,0,20,0,2,7,9,6,13.266666666666666,0,10,12.3,0,12.4,0.5,1.79,111.0,108.2,Dropout
1,8,1,7,1,1,1,13,14,8,1,0,0,1,1,0,18,0,0,5,9,1,12.0,0,10,12.0,3,7.6,2.6,0.32,,,Dropout
2,39,1,9991,0,1,1,37,37,9,0,0,0,0,0,0,38,0,0,5,6,5,10.6,0,9,11.0,0,12.7,3.7,-1.7,140.0,120.0,Dropout
2,39,1,9853,1,1,1,37,37,5,0,0,0,1,0,0,34,0,0,7,11,1,10.0,0,7,13.0,0,16.2,0.3,-0.92,133.1,116.5,Dropout
1,14,1,17,0,1,1,22,28,10,0,0,1,0,0,0,29,0,0,5,15,2,13.25,0,12,12.6,3,16.2,0.3,-0.92,,,Dropout
1,1,6,16,1,1,1,13,14,10,1,0,0,1,1,0,20,0,0,6,8,5,12.2,0,7,12.2,0,10.8,1.4,1.74,,,Dropout
1,42,1,9119,1,1,1,19,37,9,0,0,1,1,1,0,25,0,0,5,5,0,0.0,0,7,14.0,0,13.9,-0.3,0.79,130.0,135.0,Dropout
1,1,1,9147,1,1,1,34,34,99,0,0,1,1,1,1,21,0,0,5,5,5,12.6,0,9,12.833333333333334,0,10.8,1.4,1.74,120.0,111.6,Enrolled
2,7,1,9147,1,3,1,37,37,9,0,0,0,1,0,0,33,0,3,8,9,5,12.6,2,13,11.25,0,10.8,1.4,1.74,120.0,120.0,Enrolled
1,9,1,12,1,1,1,23,27,10,1,0,0,1,0,0,19,0,0,8,8,8,13.11625,0,8,13.11625,0,9.4,-0.8,-3.12,,,Graduate
1,14,2,14,1,1,1,13,1,5,1,0,0,1,1,0,22,0,4,6,6,6,11.833333333333334,0,11,11.142857142857142,0,10.8,1.4,1.74,,,Dropout
1,1,1,9500,1,1,1,19,38,7,0,0,0,1,0,0,19,0,0,7,0,0,0.0,0,0,0.0,0,16.2,0.3,-0.92,140.0,129.9,Dropout
1,1,1,10,1,1,1,13,14,10,1,0,0,1,0,1,23,0,0,6,7,6,13.857142857142858,0,6,14.166666666666666,0,10.8,1.4,1.74,,,Graduate
2,12,1,13,1,1,1,22,27,10,0,0,0,1,0,0,31,0,0,7,21,5,10.9,3,21,11.7,1,12.7,3.7,-1.7,,,Dropout
1,7,1,9147,1,40,1,37,37,9,0,0,0,1,0,0,52,0,11,15,26,14,10.466666666666669,0,16,10.923076923076923,0,13.9,-0.3,0.79,110.0,110.0,Graduate
1,1,3,9085,1,1,1,1,1,4,1,0,0,1,0,0,18,0,0,6,7,6,14.666666666666666,0,12,13.833333333333334,0,8.9,1.4,3.51,138.0,128.7,Graduate
1,1,1,9773,1,1,1,1,19,4,0,0,0,1,1,1,19,0,0,6,10,4,14.0,0,9,12.333333333333334,0,9.4,-0.8,-3.12,128.0,124.5,Graduate
3,17,1,9238,1,1,1,37,37,9,1,0,0,1,0,1,21,0,0,6,8,3,10.2,0,13,12.25,0,12.7,3.7,-1.7,138.0,133.5,Enrolled
1,17,4,9500,1,1,1,3,1,2,1,0,0,1,0,0,18,0,0,7,7,7,13.457142857142856,0,8,15.125,0,13.9,-0.3,0.79,138.0,134.5,Graduate
4,12,1,4,1,1,1,13,14,10,0,0,0,1,0,0,39,0,0,6,15,2,13.0,2,13,13.0,1,15.5,2.8,-4.06,,,Enrolled
1,43,1,9670,1,39,1,19,3,7,0,0,0,1,0,0,21,0,0,6,8,5,11.833333333333334,0,8,13.25,2,16.2,0.3,-0.92,110.0,110.0,Enrolled
1,1,3,5,1,1,1,19,27,6,1,0,0,1,0,0,20,0,0,6,6,6,13.666666666666666,0,6,13.333333333333334,0,9.4,-0.8,-3.12,,,Graduate
1,6,1,7,1,1,12,23,3,10,1,0,0,1,1,0,19,1,0,5,9,5,14.0,0,11,13.25,0,13.9,-0.3,0.79,,,Enrolled
1,1,5,12,1,1,1,22,27,8,1,0,0,1,0,1,19,0,0,8,8,7,12.771428571428572,1,8,12.771428571428572,1,9.4,-0.8,-3.12,,,Enrolled
1,8,1,7,1,1,1,1,3,5,0,0,0,1,1,0,18,0,0,5,10,1,10.0,0,7,0.0,0,9.4,-0.8,-3.12,,,Dropout
1,1,1,15,1,1,1,13,1,10,0,0,0,1,1,1,18,0,0,6,7,6,15.571428571428571,0,7,16.142857142857142,0,13.9,-0.3,0.79,,,Graduate
1,1,5,9500,1,1,1,37,19,4,1,0,0,1,1,0,18,0,0,7,0,0,0.0,0,0,0.0,0,7.6,2.6,0.32,143.0,123.3,Dropout
1,8,2,13,1,1,1,22,27,6,1,0,0,1,0,0,32,0,0,7,7,0,0.0,0,8,0.0,0,16.2,0.3,-0.92,,,Dropout
1,4,1,13,1,3,1,1,27,5,0,0,0,0,1,0,23,0,3,7,7,3,13.666666666666666,0,8,11.333333333333334,4,10.8,1.4,1.74,,,Dropout
1,17,2,171,1,1,41,1,1,2,1,0,0,1,1,0,20,1,0,0,0,0,0.0,0,0,0.0,0,11.1,0.6,2.02,130.0,148.6,Dropout
1,44,1,9003,1,1,1,3,2,2,1,0,0,1,1,0,21,0,4,9,14,7,11.285714285714286,2,15,12.25,0,12.7,3.7,-1.7,120.0,120.0,Enrolled
1,1,2,9085,1,1,1,4,19,2,1,0,0,1,0,0,18,0,0,5,8,5,16.166666666666668,2,9,14.285714285714286,1,9.4,-0.8,-3.12,160.0,162.1,Graduate
1,17,3,9119,1,1,1,1,19,141,1,0,0,1,1,0,18,0,0,5,7,5,11.8,0,9,12.0,0,8.9,1.4,3.51,135.0,121.7,Enrolled
1,8,6,13,1,1,1,23,28,6,1,0,0,1,0,1,19,0,0,7,11,6,12.4,0,8,12.8,0,11.1,0.6,2.02,,,Graduate
1,1,3,9670,1,1,1,37,37,7,1,0,0,1,1,0,19,0,0,5,7,3,11.333333333333334,0,7,11.0,0,9.4,-0.8,-3.12,120.0,111.3,Enrolled
1,8,1,15,1,1,1,2,3,3,1,0,0,1,0,1,18,0,0,6,6,6,14.833333333333334,0,6,13.5,0,11.1,0.6,2.02,,,Graduate
1,1,1,2,1,1,1,3,1,5,1,0,0,1,0,0,18,0,0,0,0,0,0.0,0,0,0.0,0,12.4,0.5,1.79,,,Graduate
2,12,2,11,1,12,1,13,14,10,0,0,0,1,1,0,39,0,0,6,6,6,13.5,0,6,13.333333333333334,0,12.4,0.5,1.79,,,Graduate
1,15,1,4,1,14,1,23,28,7,1,0,0,1,0,0,21,0,0,6,11,6,13.428571428571429,0,12,12.857142857142858,0,15.5,2.8,-4.06,,,Graduate
1,39,1,9991,0,1,1,37,37,9,0,0,1,0,1,0,31,0,0,5,9,0,0.0,0,6,0.0,0,12.4,0.5,1.79,100.0,153.5,Dropout
1,14,1,10,1,1,1,13,14,5,1,0,0,1,0,0,21,0,0,6,13,3,12.0,0,12,11.333333333333334,0,16.2,0.3,-0.92,,,Dropout
1,1,1,9773,1,1,1,38,38,9,1,0,0,1,0,0,18,0,0,6,6,6,15.5,0,6,14.0,0,11.1,0.6,2.02,141.0,128.4,Graduate
1,1,1,2,1,1,1,5,3,4,0,0,0,1,0,0,18,0,0,0,0,0,0.0,0,0,0.0,0,13.9,-0.3,0.79,,,Graduate
2,14,1,17,0,2,1,22,27,10,0,0,0,1,0,0,36,0,8,12,21,11,11.5,0,22,11.4375,0,9.4,-0.8,-3.12,,,Enrolled
1,3,1,2,1,1,1,3,14,2,1,0,0,1,1,0,20,0,0,0,0,0,0.0,0,0,0.0,0,16.2,0.3,-0.92,,,Enrolled
2,4,1,10,1,3,1,22,27,29,0,0,0,1,0,0,31,0,1,6,12,5,12.5,0,10,14.6,0,12.7,3.7,-1.7,,,Graduate
1,17,5,9853,1,1,1,12,12,4,1,0,0,1,0,0,21,0,0,6,13,4,11.5,0,10,11.0,0,10.8,1.4,1.74,132.0,123.3,Dropout
1,12,1,17,0,1,1,3,1,4,0,0,0,1,1,0,28,0,0,5,5,0,0.0,0,5,0.0,0,12.7,3.7,-1.7,,,Dropout
1,8,1,5,1,1,1,23,14,8,1,0,0,1,0,0,18,0,0,6,6,2,13.0,0,6,0.0,0,12.4,0.5,1.79,,,Dropout
1,1,4,9085,1,1,1,37,1,9,1,0,0,1,0,1,19,0,0,5,7,4,14.5,0,5,13.6,0,10.8,1.4,1.74,145.0,145.0,Graduate
1,51,1,33,1,1,1,19,37,5,0,0,0,1,0,0,26,0,14,21,23,20,13.181818181818182,0,18,11.642857142857142,0,8.9,1.4,3.51,121.0,118.6,Graduate
1,4,1,4,1,3,1,24,29,10,0,0,0,1,1,0,50,0,2,6,8,2,13.5,0,9,13.0,0,15.5,2.8,-4.06,,,Dropout
1,39,1,9500,1,19,1,1,3,2,0,0,1,1,1,0,24,0,0,7,21,0,0.0,3,7,0.0,0,16.2,0.3,-0.92,133.1,100.0,Dropout
1,1,1,9670,1,1,1,37,19,7,0,0,0,1,0,0,20,0,0,6,9,6,13.571428571428571,0,10,13.6,0,15.5,2.8,-4.06,126.0,125.7,Enrolled
1,12,1,12,1,1,1,22,27,8,1,0,0,1,0,1,24,0,0,8,15,6,12.415,0,15,12.415,0,10.8,1.4,1.74,,,Graduate
1,1,1,9500,1,1,1,1,1,5,0,0,0,1,0,0,19,0,0,7,7,7,14.3,0,9,14.055555555555555,0,16.2,0.3,-0.92,150.0,155.6,Graduate
1,1,1,9853,1,1,1,19,37,9,1,0,1,0,0,0,22,0,0,7,10,6,11.5,0,8,13.166666666666666,0,11.1,0.6,2.02,133.1,95.0,Enrolled
1,1,5,9119,1,1,1,12,19,4,1,0,0,1,1,0,19,0,0,5,12,3,12.0,0,10,12.0,0,12.4,0.5,1.79,126.0,122.5,Dropout
1,1,2,9119,1,1,1,1,38,141,1,0,0,1,1,0,20,0,0,5,7,5,10.8,0,9,12.0,0,8.9,1.4,3.51,126.0,122.5,Enrolled
4,14,1,10,1,1,1,22,27,10,0,0,1,1,0,0,34,0,0,6,13,4,11.25,0,8,13.75,0,13.9,-0.3,0.79,,,Graduate
1,44,1,9085,1,39,1,3,1,4,1,0,0,1,0,1,20,0,2,6,11,6,11.833333333333334,0,17,11.857142857142858,0,12.4,0.5,1.79,140.0,140.0,Graduate
1,6,1,13,1,1,12,13,1,10,0,0,1,1,0,0,19,1,0,7,11,0,0.0,4,11,11.666666666666666,0,8.9,1.4,3.51,,,Enrolled
1,17,3,9500,1,1,1,19,1,9,1,0,0,1,0,1,19,0,0,7,7,7,13.308571428571428,0,10,12.55,0,12.4,0.5,1.79,136.0,129.0,Graduate
1,1,1,171,1,1,1,1,12,4,1,0,0,1,1,1,20,0,8,14,15,12,10.923076923076923,0,14,12.181818181818182,0,11.1,0.6,2.02,147.0,148.4,Graduate
1,13,1,6,1,1,1,1,28,5,1,0,0,1,0,1,20,0,1,2,2,2,12.0,0,11,12.833333333333334,0,13.9,-0.3,0.79,,,Graduate
1,42,1,9500,1,1,1,3,37,2,1,0,0,1,0,0,25,0,0,14,14,12,13.291666666666666,1,14,13.291666666666666,1,7.6,2.6,0.32,100.0,130.0,Graduate
1,1,6,12,1,1,1,1,28,5,1,0,0,1,0,1,18,0,0,8,8,8,12.32,0,8,12.32,0,9.4,-0.8,-3.12,,,Graduate
1,44,1,9085,1,39,1,38,1,5,0,0,0,1,0,0,20,0,0,5,10,2,14.5,1,7,11.25,0,12.7,3.7,-1.7,150.0,150.0,Enrolled
1,1,1,9500,1,1,1,1,19,4,1,0,0,1,1,0,18,0,0,7,7,7,12.444285714285714,0,11,11.347142857142858,0,12.4,0.5,1.79,128.0,125.6,Graduate
