student_number,curricular_units_1st_sem_approved,curricular_units_1st_sem_grade
571b3ccb,6,11.166666666666666
f4a91d16,5,12.8
a5d9389a,6,12.5
76f73ec7,7,13.462857142857144
5ebc56a9,6,14.714285714285714
8cfa2a6b,5,13.2
4e9e3f63,4,12.0
2fed3ce4,5,12.414285714285713
bc9bbdbd,4,11.5
aeac162b,4,14.25
907bf2f6,5,12.6
dcde67b9,0,0.0
7e2960c9,5,11.2
19b77d8c,6,10.833333333333334
4b1658fb,4,11.25
fb830584,2,10.0
4b74985e,7,11.375
6dee2773,0,0.0
b1f56d08,1,11.0
36d0f24c,7,11.705714285714285
7d6f259d,6,12.0
50b23eb8,6,12.666666666666666
1738ce1e,0,0.0
56480f9c,2,11.666666666666666
d8ecb874,3,10.666666666666666
db5ca9a0,3,12.0
fca5c05c,4,11.0
82c4873e,4,11.75
2cd84015,5,14.46
4f6b9900,5,12.8
cf94114b,4,12.0
be776a7e,6,14.333333333333334
b615686c,5,12.333333333333334
9d0db18d,5,13.6
8bc6d5aa,4,12.5
245efed6,5,12.2
46163d2e,5,11.4
5aecf141,0,0.0
e37f5a17,3,12.0
28afb290,6,11.166666666666666
d0483730,5,12.62
4776646c,3,10.666666666666666
6829c0b3,7,11.857142857142858
4012f11a,4,15.75
bd83bf75,4,11.0
1e4e8c3d,5,12.4
26d1d7ca,3,12.0
67d8e96f,0,0.0
6d915b84,6,12.0
4e1f9372,3,10.333333333333334
28eebf09,5,12.94
404d3a29,4,12.25
87427bb5,4,13.625
3bd87e6c,4,12.0
393c1058,6,13.598333333333334
fa53b5e3,11,12.7
237795ea,6,11.5
bd6850ce,6,12.875
74c1517c,4,10.75
51012434,6,13.533333333333331
bf880063,8,13.25
cdb6893f,1,11.0
26e45da4,1,12.0
5eeb8764,0,0.0
e43a46e3,8,12.375
05815875,5,12.6
9b61a7ae,4,12.25
f508f828,6,11.375
f398f518,4,13.5
851dd5d8,4,10.0
93d0b52e,6,12.333333333333334
9a929d9a,3,12.0
8765f10e,6,13.5
2892991b,4,10.666666666666666
f3b731a4,4,12.5
cebcc995,4,11.5
cbcef0ea,3,11.2
517b23fa,5,13.0
70e8b3ee,6,12.6
8bc78501,5,12.8
99027657,5,13.04
67df44a9,11,13.166666666666666
4020303c,5,10.6
12075127,6,13.428571428571429
8bd09c36,5,12.0
c6053320,4,11.5
9675b28c,6,13.333333333333334
fe4e5cb4,0,0.0
18a21dba,5,12.2
2454b5fb,4,11.0
aa057732,5,11.6
101727b6,4,13.5
1bab174e,5,13.4
c769cdb2,3,10.2
470ea076,6,10.833333333333334
db3bee20,6,12.816666666666668
9b467de1,2,13.5
72073e25,4,11.6
0ef34319,5,12.0
328ea73c,6,13.976666666666668
bc5ecf8a,4,12.5
1956aeb5,3,11.666666666666666
e69843ca,6,11.833333333333334
4d7adbcd,4,13.2
220273c3,5,12.0
294fec24,4,11.6
c1b0ee1e,4,12.0
efe31a5a,6,11.285714285714286
a670c0a0,5,12.0
11eadb8f,5,13.34
411f7078,7,12.457142857142856
24f53f1b,4,10.5
40d75847,4,10.0
e7b21057,0,0.0
8554c1ce,0,0.0
b2697730,2,13.0
cc81799b,4,14.5
c0960daf,4,12.25
df720fed,5,12.6
722fd5c6,0,0.0
6594a2d2,7,12.857142857142858
53aab52c,5,13.6
afc7966c,3,12.0
3f76715d,6,13.166666666666666
acba9c86,0,0.0
26461130,12,14.0
7509c953,4,11.25
ecce0514,0,0.0
25345ff3,1,11.0
c7aa6237,4,12.0
9671cb3e,5,11.166666666666666
7dafe7d6,4,11.5
937fbcb2,2,10.5
50e3a7b1,4,12.5
1072fe91,6,12.833333333333334
4649a61c,6,12.285714285714286
702e3b66,5,11.0
95f2a4fd,11,12.545454545454543
60b32ffb,6,12.666666666666666
81bdfa91,5,13.0
0dbc0d2e,13,13.307692307692308
98bcd634,7,14.514285714285714
b4ee95e8,5,15.2
964c3bc5,4,11.75
19164a9e,0,0.0
29a23cb2,6,14.0
40cb761d,4,12.5
8fb71c91,3,10.666666666666666
32b3516f,4,12.25
694b5672,0,0.0
7a693226,5,11.8
36933b0a,2,14.0
d304b3e2,4,10.75
5da97bee,4,12.25
75870c7c,4,12.5
fd6c846a,1,10.0
e1f73710,4,12.0
8959cbd0,9,12.333333333333334
e8fa289f,6,12.035714285714286
1a115228,5,12.2
93749043,7,11.285714285714286
a75828bb,5,11.8
5aa389b8,0,0.0
a33f58ad,5,14.2
dfce69a4,10,12.7
27b6c98d,8,15.125
fc8ebf04,3,12.0
eb52b88f,4,14.25
f165385e,2,10.5
2479b8da,5,11.666666666666666
a58c7a06,5,10.8
e2c148a3,5,12.8
bcc6ea58,4,11.0
6ab098f1,3,11.0
42f7f6a8,4,13.125
7c2f0d18,5,11.8
4555c47f,5,12.2
73088592,6,14.88888888888889
2e8a6721,5,13.0
619d6aa2,4,12.65
64b3add0,1,11.0
53851961,3,11.333333333333334
75cde2d3,4,11.571428571428571
53f1487e,5,12.16
cce74ccf,5,13.2
a7b7e464,3,12.5
f9a79f47,2,12.5
69d5843e,0,0.0
b16f0657,5,14.333333333333334
d1cd306c,4,11.75
3122a626,0,0.0
984e07bc,2,10.5
ff3b8048,4,12.0
9839075b,5,12.333333333333334
3584cf96,5,12.2
bb5dc342,5,14.2
9139134f,5,12.8
cef990f7,5,11.8
180f70e4,5,12.46
ef1d98bf,5,11.833333333333334
594bf124,8,13.125
890f2bb1,0,0.0
c1bc6584,3,12.333333333333334
adc52aac,4,13.25
f3654478,8,12.625
6a7e0344,4,12.85
af35aab2,6,14.285714285714286
7e8077ba,0,0.0
663c7765,4,11.25
9242c0a4,6,11.333333333333334
c09e5868,5,11.6
cf31f88b,2,11.5
3c100ffc,0,0.0
9d7a5cae,3,14.5
bc3b60d2,5,13.44
3d46a2aa,6,13.0
11cdf966,5,12.666666666666666
2d91ff2a,5,12.2
6715f0de,5,11.8
daf1a2d2,5,12.16
684d2399,1,15.0
3d74a275,2,11.5
e1aecea4,1,13.0
4873c11b,0,0.0
5982f6ae,6,12.0
da32a2cb,7,12.385714285714286
672210d7,5,12.4
133e9df9,3,11.75
d29c0048,0,0.0
812024dc,1,11.5
486c6c3f,6,12.0
40d310e5,0,0.0
9d296f5c,3,11.0
39b693a8,4,12.0
b8a63aad,2,10.5
ba112ddd,3,11.666666666666666
d65b21ce,6,14.142857142857142
7d115a62,0,0.0
a584048d,3,12.333333333333334
850b935a,5,10.2
13e27055,5,12.6
626be8ae,4,12.25
ed10b71a,3,10.666666666666666
2dc16c92,4,12.75
650439ac,6,11.333333333333334
92def2bb,0,0.0
5a04ba1d,4,10.75
46bcbb11,5,12.0
bf956f33,6,12.528571428571428
9f5800e4,0,0.0
b76fa960,3,10.666666666666666
fcdc122e,6,13.125
af9fd204,5,12.4
f5a70208,5,14.0
99fd51e2,5,11.4
bd7ee2c9,4,11.75
ef5814ba,6,13.428571428571429
2dfd5298,4,11.8
19c98e9c,3,14.0
3be18391,6,12.333333333333334
f0d74084,5,10.666666666666666
e43e46cf,5,11.833333333333334
ac0796a7,6,11.666666666666666
d1972b24,5,16.0
3cdbd321,7,14.085714285714284
c23d2fb9,0,0.0
3f3342ae,5,15.8
eca8eb4e,4,12.5
844c9acd,4,12.5
cf7f4177,1,10.0
1b0be32c,0,0.0
96caaafb,4,12.0
ebd5f0ed,13,12.153846153846152
96f79a05,6,16.5
f3473964,6,11.285714285714286
7704dc09,0,0.0
115b6c07,5,14.0
21b96931,4,13.75
b46ba914,10,11.8
e0674f97,4,11.5
75ac693c,5,13.4
8d4153dc,2,13.5
fd00a082,3,11.333333333333334
4ac93f87,5,11.4
c1ebaed5,3,10.666666666666666
12a63550,7,13.571428571428571
402ac0fe,4,12.0
f1436137,0,0.0
e1c44d2b,5,11.4
feb3ff49,6,11.333333333333334
b0f50531,0,0.0
8d7e7599,12,15.083333333333334
fb5290da,3,10.0
b2e1d443,4,10.0
62857d99,5,13.833333333333334
50740021,5,11.6
7d9d48b9,6,12.666666666666666
843c6824,0,0.0
f0100aed,3,12.666666666666666
a667d684,3,13.666666666666666
0eea3286,5,10.8
8cfaa8bd,4,11.575
22155c9e,4,14.25
455d3173,6,12.833333333333334
a6431ad8,5,11.4
cc015b96,5,14.857142857142858
a6884706,3,11.666666666666666
43892ce5,6,12.5
8f2171b4,3,10.666666666666666
db8a4735,4,10.5
3583fd89,0,0.0
98843b7e,5,11.5
32ae55e2,1,12.0
affa9db4,3,10.666666666666666
a8bfac70,5,11.6
9382a438,4,12.0
e991a27f,3,12.0
3d163aba,2,10.5
e553a8b1,5,12.2
aad9e3d8,6,11.5
d60f9254,2,10.0
5cbfb294,2,13.0
8d78a814,5,13.4
fa754c2c,4,12.25
7183ac8a,9,11.555555555555555
1d94d4e8,7,12.2
8890f848,4,10.8
b7d9d582,4,12.75
58d26642,6,12.714285714285714
e97728f9,7,13.285714285714286
ef38d45a,5,13.976666666666668
5a162d8d,6,12.0
b3058c5d,7,11.635714285714286
06c05bbd,4,12.5
a1beb112,3,11.0
426bb911,6,10.666666666666666
2c936ce6,0,0.0
344e0704,5,10.8
84ce69ad,5,11.0
a24e142e,0,0.0
489913f8,4,14.4
9ac4f35f,4,12.25
7d781922,0,0.0
b524145e,7,11.95
519c893f,0,0.0
85044b2d,3,11.0
0d44ee48,4,11.75
47d2f57d,1,11.0
592330e6,6,15.428571428571429
95084362,7,14.014285714285714
19a9a0e2,2,10.333333333333334
018bc56f,7,12.401428571428571
d8eac8bd,0,0.0
2dc9712c,4,10.8
b5241e58,8,11.0
affca6fc,3,12.333333333333334
765953d6,3,11.0
3ba7dd93,5,12.858
a276dcc2,5,14.06
a755f408,0,0.0
ac1b132e,4,13.75
9a0289c6,3,11.333333333333334
7863e575,5,13.2
93c41762,3,11.333333333333334
b9109d1f,0,0.0
4c522d7d,6,14.625
4469ab21,4,13.375
276c594c,4,11.0
5cbb2d94,0,0.0
739b4ab0,6,13.285714285714286
991673d6,5,11.716666666666669
4588d4c8,6,12.333333333333334
6ddb91b3,5,12.6
c19e1e54,6,14.333333333333334
7d473199,3,12.0
a4f9a6d8,3,13.333333333333334
aed55b39,3,11.666666666666666
cf2513f9,2,10.5
9b7910ad,5,13.0
fc019159,4,14.5
6fd2819b,6,10.666666666666666
ae8dcbda,15,11.8
28b46798,5,12.333333333333334
84533218,8,11.0
77ca9569,4,11.25
6d43ee3a,11,11.5
5cbbcaac,6,10.666666666666666
972db40c,4,13.25
cf627319,1,13.67
9284c2ea,4,11.0
5f64dc06,7,12.428571428571429
7c483af9,5,11.4
a25934b9,0,0.0
6a19a1d6,3,12.0
337e69c6,4,12.25
23f04825,4,11.75
f4534c1f,4,11.0
4607d0d9,7,12.714285714285714
5306b316,2,10.0
377b6b66,6,12.571428571428571
cbc0fa79,6,13.39
43b964b2,3,12.333333333333334
a52f1c5c,2,11.5
e41ffa30,6,15.0
0f8205b7,5,12.32
4a6c7a3c,6,11.333333333333334
1caa85e6,4,12.0
81c1afce,5,12.8
7c682e42,0,0.0
0d0dc287,6,12.833333333333334
5ad5191b,5,13.2
9d3b64c2,5,11.6
8deae026,6,13.166666666666666
27526a6c,5,12.6
688992fb,3,11.333333333333334
03215142,3,10.5
941fe63a,6,10.375
d3082efa,6,13.25
d3cee757,7,12.50625
f398c561,5,12.2
e6eac1f1,5,12.04
057d78f0,5,11.166666666666666
ec982508,4,12.5
57e6e520,6,12.183333333333332
c896b901,2,10.0
51e1a8c9,6,11.166666666666666
47d04070,3,11.0
c4c92960,5,11.333333333333334
01773047,5,11.2
224b2a9a,4,10.5
5437c379,3,11.25
d04516dd,7,10.714285714285714
b08ef117,5,12.0
04601854,6,12.166666666666666
4aff40c2,0,0.0
6796fc35,9,11.0
61886f9b,4,11.5
b8c9ac31,4,11.25
7e1ceae3,3,12.666666666666666
943a1ce2,3,10.666666666666666
d0c689d7,3,11.666666666666666
43003c89,6,12.0
6df6341d,9,12.22222222222222
eb4aa142,4,11.0
1c4896e5,7,13.68142857142857
36f6cdb6,6,12.1
29c9505e,5,11.94
d15d7e7f,5,11.0
4306b17a,6,12.857142857142858
95e4ea98,5,11.0
aa1bd161,1,17.0
93af700d,5,11.0
e895095e,0,0.0
8576315a,4,11.25
86b8c09c,5,12.4
9cd77e1f,1,13.0
ec6d1c30,6,11.833333333333334
f87829c5,1,13.0
dae1a963,4,11.0
2d00f638,2,11.5
88451f87,7,14.06
467dd3a0,4,11.25
bfc4b899,2,14.5
85102ca9,2,10.5
7783f573,4,12.8
87a8b684,0,0.0
3076f0be,6,13.571428571428571
b5013ce2,5,10.2
b9776975,5,12.2
bc55e78b,6,13.428571428571429
33f7a7bf,1,11.0
2c2e3ccc,6,13.548333333333334
faa28687,6,12.166666666666666
d5ed0a02,5,10.8
40a2fade,8,10.5
8b0db5d0,6,11.15
af01f263,3,11.666666666666666
2fdbb8e9,5,12.285714285714286
984ab0df,4,13.375
9297ad2e,5,13.126
01ba131f,3,10.333333333333334
1411946b,4,12.0
7dc3cd70,5,11.4
0b963335,7,12.771428571428572
b61e35a5,7,11.0
107b4d76,0,0.0
da160275,4,11.25
6404a0dc,5,12.4
53b20483,1,13.0
8cd6915f,2,10.0
1f7045c3,5,14.2
1271dad3,5,12.7
d1d352b8,8,13.333333333333334
56b30ca9,4,12.25
718e3318,5,13.6
3950f984,2,10.5
9bb0e9a1,6,12.565
849cdf41,6,13.166666666666666
d8e9d076,6,11.166666666666666
f7ff3264,6,12.666666666666666
3c1ff529,5,13.06
33f016ac,0,0.0
ff26bd4d,4,12.5
31a0605b,0,0.0
371cbc86,7,13.154285714285717
0acf9ed3,2,11.5
4131ab64,3,13.333333333333334
d0bf64d8,5,11.8
65ae8314,0,0.0
17e453fb,0,0.0
d7e3e9da,2,12.5
85ef528a,7,13.142857142857142
95c78f03,5,15.0
322deaf9,1,10.0
45e78251,6,12.166666666666666
064c6253,3,12.0
61d1f178,7,12.857142857142858
e110efd0,3,11.75
4d2ecc60,5,11.833333333333334
cf0f55a5,6,12.555555555555555
7fccf27e,2,14.5
36a618b6,6,12.875
ed697909,5,12.0
6bde4c72,1,13.0
7eeaaa8f,5,10.8
07c05a73,6,12.833333333333334
48a69db5,5,12.6
20fb1abb,2,14.333333333333334
97782fb2,1,11.0
87bd519d,5,11.833333333333334
9aa79bf3,5,11.333333333333334
8b935a3a,3,14.333333333333334
30d11564,6,14.428571428571429
94770f84,5,11.8
09048569,5,13.6
b80745eb,4,13.4
951d793f,3,13.0
8402e50f,5,13.34
f414117f,3,12.0
c56b50e8,5,11.5
9ad91cd3,5,12.86
4d8c2776,7,12.59125
808b9d58,5,13.0
afb49cb5,0,0.0
cb7bd6aa,5,13.2
611c6cb2,7,11.428571428571429
4bce89e1,6,11.166666666666666
fbcc0146,4,11.75
ba20ac41,6,14.5
df572e0b,4,10.4
2af759dd,7,13.0
864697b0,6,14.166666666666666
c599dba5,4,13.25
c7e75e0e,1,11.0
8f763eea,5,12.6
21722cdf,4,11.5
ccf64b75,4,14.2
032f121a,4,12.5
6c23046b,6,11.666666666666666
b28a80e4,3,13.0
45f0a2da,11,11.545454545454543
eb59b696,1,10.0
fa1e8c34,5,11.8
fa2e4086,1,10.0
2ba332ff,4,11.0
3576a0e1,4,10.0
774e7779,3,11.0
3fb4e800,0,0.0
73b1984a,5,13.0
0f6fecf0,3,10.8
4bef167c,0,0.0
00fa2c4f,5,11.0
d506fbf5,12,13.333333333333334
1886d05e,1,10.0
32a907bf,7,12.285714285714286
8ab59d44,5,12.4
1ff90576,6,12.571428571428571
32fd140f,12,11.833333333333334
c2dca24b,6,12.166666666666666
8a6ee7ac,6,13.166666666666666
193d90a6,6,13.571428571428571
c9fb46c5,2,11.5
2591282b,4,11.25
488330da,7,13.29
50748feb,8,10.375
a4975de3,7,12.333333333333334
0e17b8db,5,11.2
529ba7c5,6,11.833333333333334
874b9824,6,14.833333333333334
854320b2,2,13.5
4db8f75c,7,11.971428571428572
6a991ab4,3,12.0
21e1e74b,8,12.25
cf352e82,5,12.2
b9723718,5,12.4
4e6bcd92,6,10.744444444444444
e90a1c7e,4,12.75
3d13c4d5,2,10.0
5b8766e9,0,0.0
690866f2,7,13.242857142857144
2652f44c,5,12.6
35a19aff,4,12.25
9e3fd6d8,4,12.75
1343e2e6,0,0.0
40cf115e,1,14.0
04392659,6,12.125
a098f837,4,13.5
52d6c76f,0,0.0
cc99aea0,3,14.0
094bc5b7,6,12.666666666666666
49fd3a54,4,12.25
702a70a5,3,15.0
b9167cc4,0,0.0
d6e951d4,6,13.5
67465ed6,5,13.6
6028d5fc,4,11.25
530133e8,3,10.5
1fbc8c95,4,11.25
f9b142e0,6,13.016666666666666
044edbb6,6,11.714285714285714
a2253931,3,12.666666666666666
17944ece,0,0.0
ac650a7f,6,13.0
c256e500,3,14.0
a7dd83a9,6,13.166666666666666
a8aa3a84,4,13.0
02ee0682,3,11.25
9e9f75c0,6,10.857142857142858
abd8a856,4,11.75
8cfb5b1b,8,11.625
636522bd,0,0.0
a6eb365c,3,12.333333333333334
789f779f,4,11.5
858dd677,3,10.666666666666666
e28dc6d9,1,17.0
67f73a56,3,12.666666666666666
6636263b,5,14.06
b2003240,3,10.333333333333334
aaa6404a,4,11.5
4bef3bc9,6,11.833333333333334
25cfe815,2,13.0
4ea4a283,0,0.0
4bba9244,7,13.761111111111113
b370c1f5,4,11.25
4d9fcd3f,5,12.6
a8cb3900,5,12.6
f45441ab,4,12.0
4940aa1e,4,13.0
af4900dc,5,11.6
