marital_status,previous_qualification_grade,admission_grade,displaced,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,curricular_units_1st_sem_enrolled,target
1,130.0,131.9,0,0,1,0,1,21,6,Graduate
4,133.1,126.0,1,0,1,1,0,29,7,Dropout
1,139.0,128.2,1,0,1,1,1,19,0,Graduate
1,130.0,130.0,1,0,1,1,0,23,6,Graduate
1,125.0,120.1,0,1,1,1,0,19,5,Dropout
1,150.0,130.8,0,0,1,1,0,24,7,Graduate
1,141.0,135.8,1,0,1,1,0,19,0,Dropout
1,118.0,111.7,1,0,1,1,0,18,6,Dropout
1,142.0,132.9,1,0,1,1,0,18,6,Graduate
1,120.0,115.5,1,1,1,1,0,18,5,Dropout
1,106.0,106.0,1,0,1,1,1,21,6,Dropout
1,121.0,120.3,1,1,1,1,1,19,6,Graduate
1,150.0,130.8,0,0,1,1,1,22,7,Graduate
2,120.0,117.0,0,0,1,1,0,33,6,Graduate
1,114.0,110.2,1,0,1,1,0,20,6,Dropout
1,140.0,155.7,1,0,1,1,0,35,1,Dropout
1,160.0,180.4,0,1,1,1,0,24,12,Dropout
2,130.0,110.0,1,0,1,0,0,33,6,Graduate
1,160.0,161.0,1,0,1,0,1,22,8,Graduate
1,120.0,100.0,0,0,1,0,1,25,5,Graduate
1,124.0,117.6,1,0,1,1,0,20,6,Graduate
1,133.1,100.8,0,0,1,1,0,24,7,Dropout
1,133.1,105.0,1,0,0,0,0,21,6,Graduate
1,133.1,100.0,0,0,1,0,0,26,6,Dropout
2,133.1,115.5,0,0,1,0,0,39,6,Dropout
2,133.1,114.0,0,0,1,0,0,44,8,Graduate
1,135.0,124.9,1,0,1,0,0,18,6,Graduate
1,132.0,120.3,1,0,1,0,1,18,7,Graduate
1,115.0,111.5,1,1,0,0,0,19,7,Dropout
1,130.0,128.8,0,0,1,0,0,21,10,Dropout
1,133.1,110.0,1,0,1,0,0,20,0,Graduate
2,130.0,113.5,1,0,1,0,0,36,6,Dropout
4,133.1,160.0,0,0,1,0,0,43,18,Graduate
1,123.0,117.4,1,0,1,0,0,19,6,Dropout
1,130.0,122.2,0,1,1,0,0,20,10,Graduate
1,122.0,118.2,1,0,1,0,0,19,6,Dropout
1,113.0,106.7,1,0,1,0,0,20,6,Dropout
1,111.0,108.2,1,0,1,0,0,20,7,Dropout
1,142.0,136.1,1,0,1,0,0,18,6,Graduate
1,131.0,139.8,1,0,1,0,0,19,5,Graduate
1,158.0,157.0,1,0,1,0,0,18,6,Graduate
1,122.0,131.0,1,0,1,0,0,18,7,Dropout
1,140.0,137.0,0,0,1,0,0,18,5,Graduate
1,127.0,121.8,0,0,1,0,0,18,5,Graduate
1,133.1,131.0,1,0,1,0,0,21,6,Dropout
1,120.0,118.6,1,0,1,0,0,19,5,Graduate
1,137.0,122.3,0,0,1,0,0,19,0,Dropout
1,131.0,127.9,0,0,1,0,1,19,5,Graduate
1,130.0,121.3,1,0,1,0,0,19,6,Graduate
1,122.0,117.1,1,0,1,0,0,19,7,Dropout
1,160.0,160.0,1,0,1,0,0,20,6,Graduate
1,131.0,122.6,1,0,1,0,0,18,6,Graduate
1,132.0,128.0,1,0,1,0,0,19,7,Graduate
1,138.0,124.9,1,0,1,0,1,18,7,Dropout
1,130.0,123.7,1,0,1,0,0,18,6,Graduate
1,126.0,120.1,1,0,1,0,0,19,5,Graduate
1,148.0,131.7,1,0,1,0,0,19,7,Dropout
1,130.0,133.2,0,0,1,0,0,20,9,Graduate
1,117.0,109.3,0,1,0,0,1,19,6,Dropout
1,120.0,113.0,1,0,1,0,0,20,5,Graduate
1,153.0,157.9,0,1,1,0,1,18,6,Graduate
1,178.0,174.7,0,0,1,0,0,18,7,Graduate
1,129.0,128.8,1,0,1,0,0,19,7,Graduate
1,116.0,110.1,1,0,1,0,1,19,6,Graduate
1,135.0,121.0,1,0,1,0,1,19,6,Graduate
1,141.0,131.7,1,0,1,0,1,19,7,Graduate
1,132.0,119.1,1,0,1,0,1,19,6,Graduate
1,132.0,124.7,1,0,1,0,0,19,5,Dropout
1,113.0,117.2,1,0,1,0,0,20,6,Dropout
1,134.0,128.8,0,0,1,0,0,18,5,Graduate
1,136.0,131.5,0,0,1,0,1,20,7,Graduate
1,129.0,123.4,0,0,1,0,0,19,5,Graduate
1,137.0,132.8,1,0,1,0,0,18,6,Graduate
1,115.0,108.7,1,0,1,0,0,21,6,Dropout
1,129.0,138.1,0,0,1,0,0,19,6,Dropout
1,131.0,126.5,0,0,1,0,1,18,5,Graduate
1,133.0,127.4,1,0,1,0,1,18,6,Graduate
1,125.0,123.6,1,0,1,0,0,20,6,Graduate
1,120.0,122.0,0,0,1,0,1,24,6,Graduate
1,128.0,118.2,0,0,1,0,0,19,6,Dropout
1,127.0,123.9,1,0,1,0,1,18,7,Graduate
1,134.0,125.8,1,0,1,0,0,18,7,Graduate
1,132.0,123.3,1,0,1,0,0,21,6,Dropout
1,124.0,124.4,0,0,1,0,0,19,5,Graduate
1,133.1,126.0,0,0,1,0,1,19,6,Graduate
1,125.0,121.5,0,0,1,0,0,19,6,Graduate
1,130.0,130.0,0,0,1,0,0,29,8,Graduate
1,125.0,117.0,1,0,1,0,0,21,6,Dropout
1,133.1,108.0,0,0,1,0,0,20,7,Graduate
1,131.0,132.3,1,0,1,0,0,19,7,Graduate
1,150.0,148.0,0,0,1,0,0,26,6,Graduate
1,125.0,122.6,1,1,0,0,0,20,6,Dropout
1,130.0,102.5,0,0,1,0,0,27,6,Graduate
1,123.0,113.3,1,0,1,0,0,20,7,Dropout
1,141.0,133.0,1,0,1,0,0,18,6,Dropout
1,140.0,140.0,0,0,1,0,0,33,7,Dropout
1,140.0,128.3,1,0,1,0,0,35,21,Graduate
1,133.1,104.0,0,1,0,0,0,27,6,Dropout
1,131.0,122.3,1,0,0,0,0,19,6,Dropout
1,143.0,135.0,0,0,1,0,0,20,6,Dropout
1,132.0,119.1,1,1,0,0,0,20,5,Dropout
1,141.0,129.0,1,0,1,0,1,18,7,Graduate
1,133.1,162.3,1,0,1,0,0,24,6,Dropout
1,148.0,163.4,1,0,1,0,0,20,6,Graduate
1,125.0,121.5,0,0,1,0,1,21,6,Graduate
1,140.0,118.0,1,0,1,0,0,24,5,Dropout
1,139.0,134.0,0,0,1,0,0,21,6,Dropout
1,142.0,129.8,1,0,1,0,0,18,8,Graduate
1,130.0,152.0,1,0,1,0,0,27,5,Dropout
1,126.0,122.8,1,0,1,0,0,18,8,Graduate
1,150.0,150.0,0,0,1,0,0,35,5,Dropout
1,130.0,131.8,0,0,1,0,0,18,7,Graduate
1,138.0,132.1,1,0,1,0,0,19,5,Graduate
1,127.0,127.4,1,0,1,0,0,20,6,Graduate
1,140.0,129.5,1,0,1,0,0,18,8,Graduate
1,130.0,126.7,0,1,1,0,0,21,6,Graduate
1,128.0,116.5,0,0,1,0,1,18,6,Graduate
1,132.0,119.1,1,0,1,0,0,18,6,Graduate
1,149.0,126.5,1,0,1,0,0,18,8,Graduate
1,155.0,149.8,1,0,1,0,1,18,6,Graduate
1,120.0,115.1,1,0,1,0,0,19,6,Graduate
1,133.1,124.5,0,0,1,0,1,36,6,Dropout
1,131.0,128.3,1,0,1,0,1,18,8,Graduate
1,149.0,136.0,0,0,1,0,1,18,7,Graduate
1,140.0,140.0,1,0,1,0,1,20,6,Graduate
1,133.1,126.3,0,0,1,0,1,26,5,Dropout
1,122.0,126.9,0,0,1,0,0,21,6,Graduate
1,121.0,115.8,1,0,1,0,1,19,5,Graduate
1,120.0,100.0,1,0,1,0,0,24,6,Dropout
1,133.1,102.5,0,0,1,0,1,27,6,Dropout
1,121.0,131.5,0,0,1,0,0,21,5,Dropout
1,133.0,147.0,0,0,1,0,1,18,5,Graduate
2,134.0,122.5,0,0,1,0,1,19,6,Graduate
1,115.0,117.5,1,0,1,0,0,18,6,Dropout
1,127.0,150.0,0,0,1,0,1,19,7,Graduate
1,135.0,127.5,1,0,1,0,1,19,7,Graduate
2,140.0,140.0,0,0,1,0,0,33,6,Graduate
2,130.0,130.0,0,0,1,0,0,45,5,Graduate
1,135.0,133.3,0,0,1,0,1,20,6,Graduate
1,140.0,97.0,1,0,1,0,0,28,5,Dropout
1,120.0,112.0,1,0,1,0,1,19,8,Graduate
1,140.0,123.6,1,0,1,0,0,18,6,Graduate
1,133.1,130.5,0,0,1,0,0,38,6,Dropout
1,135.0,133.3,0,0,1,0,0,19,5,Graduate
1,123.0,132.1,0,0,1,0,1,21,6,Graduate
1,133.1,100.0,0,0,1,0,0,21,5,Dropout
1,154.0,140.4,0,0,1,0,1,22,6,Graduate
1,148.0,141.7,0,0,1,0,1,18,6,Graduate
1,133.0,119.7,0,0,1,0,1,18,6,Graduate
1,126.0,122.5,1,0,0,0,0,25,5,Dropout
1,133.1,140.0,0,1,0,0,0,24,6,Dropout
1,118.0,119.1,1,0,1,0,1,20,5,Graduate
1,120.0,122.7,0,0,0,0,0,25,5,Dropout
1,127.0,117.9,0,0,1,0,1,20,10,Graduate
1,130.0,130.0,0,0,1,0,0,23,8,Graduate
1,129.0,120.0,1,0,1,0,1,19,8,Graduate
1,130.0,130.0,0,1,0,0,0,29,6,Dropout
1,121.0,116.8,1,0,1,0,0,21,6,Graduate
1,136.0,123.4,1,0,1,0,1,18,6,Graduate
1,131.0,127.2,1,0,1,0,1,18,6,Dropout
1,122.0,103.4,0,0,1,0,0,19,5,Graduate
1,136.0,124.1,0,0,1,0,0,18,5,Graduate
2,133.1,99.5,1,1,0,0,1,37,7,Dropout
1,127.0,124.9,0,0,1,0,0,29,5,Graduate
1,121.0,118.9,1,0,1,0,1,19,6,Graduate
1,124.0,118.8,1,1,0,0,0,22,10,Dropout
1,131.0,137.0,0,0,1,0,1,20,6,Graduate
1,100.0,100.0,0,0,1,0,0,34,6,Dropout
1,130.0,120.0,0,1,0,0,0,30,12,Dropout
1,135.0,122.8,0,0,1,0,0,18,6,Graduate
1,130.0,121.6,0,0,1,0,0,18,6,Graduate
1,146.0,149.2,1,0,1,0,0,18,6,Graduate
1,146.0,140.0,1,0,1,0,0,18,8,Graduate
1,154.0,133.4,1,0,1,0,1,19,6,Graduate
1,137.0,126.2,1,0,1,0,1,19,6,Graduate
1,151.0,127.8,0,0,1,0,1,18,8,Graduate
1,150.0,150.0,0,0,1,0,1,21,6,Graduate
1,121.0,113.7,1,0,0,0,0,20,5,Dropout
1,122.0,117.8,1,0,1,0,0,20,5,Graduate
1,143.0,136.7,0,0,1,0,0,19,7,Graduate
1,152.0,144.7,0,0,1,0,0,20,6,Graduate
1,145.0,139.8,1,0,1,0,0,18,7,Graduate
1,120.0,113.7,0,0,1,0,0,20,6,Dropout
2,140.0,140.0,0,1,0,0,0,29,9,Dropout
1,129.0,119.6,1,0,1,0,1,20,7,Graduate
1,139.0,123.7,1,0,1,0,1,22,5,Graduate
4,133.1,143.0,1,0,1,0,1,47,6,Graduate
2,127.0,100.1,0,0,1,0,0,31,5,Graduate
1,126.0,119.4,0,0,1,0,1,21,6,Graduate
1,128.0,122.1,0,0,1,0,0,21,6,Graduate
2,100.0,100.0,0,0,1,0,0,24,6,Graduate
1,170.0,101.0,0,0,1,0,0,32,6,Graduate
1,117.0,111.8,1,0,1,0,1,19,6,Graduate
1,140.0,140.0,1,0,1,0,0,24,8,Graduate
1,123.0,124.4,1,0,1,0,0,19,6,Graduate
1,150.0,150.0,0,1,1,0,1,19,6,Graduate
1,123.0,116.0,1,0,1,0,1,18,6,Graduate
1,130.0,135.6,1,0,1,0,1,19,6,Dropout
2,137.0,121.0,0,0,1,0,1,19,8,Graduate
1,126.0,118.7,1,0,1,0,1,18,6,Graduate
1,125.0,125.7,1,0,1,0,0,18,6,Graduate
1,112.0,107.1,1,0,1,0,0,20,7,Graduate
1,141.0,125.5,0,0,1,0,0,18,8,Graduate
1,135.0,127.0,1,0,1,0,0,18,6,Graduate
1,117.0,113.5,1,0,1,0,1,21,5,Graduate
1,160.0,154.4,0,0,1,0,1,18,7,Graduate
1,136.0,122.0,0,1,0,0,0,18,5,Dropout
1,143.0,128.0,1,0,1,0,0,19,6,Dropout
1,120.0,117.2,1,0,1,0,0,18,6,Graduate
1,150.0,150.0,1,0,1,0,0,34,5,Dropout
1,142.0,155.3,0,0,1,0,0,19,5,Graduate
1,120.0,120.0,1,1,0,0,0,19,6,Dropout
1,160.0,116.1,0,1,1,0,0,26,6,Graduate
1,133.1,118.9,1,0,1,0,0,21,6,Dropout
1,142.0,127.3,0,0,1,0,1,18,5,Graduate
1,121.0,113.7,1,0,1,0,1,20,6,Graduate
1,135.0,118.5,0,0,1,0,0,25,5,Dropout
1,153.0,146.7,0,0,1,0,0,18,5,Graduate
1,140.0,124.3,1,0,1,0,1,18,7,Graduate
1,152.0,137.8,0,0,1,0,0,19,7,Graduate
1,120.0,130.2,0,0,1,0,1,18,6,Graduate
1,150.0,150.0,0,1,0,0,0,26,3,Dropout
1,100.0,100.0,1,0,1,0,1,19,8,Graduate
1,150.0,155.6,0,0,1,0,0,19,7,Graduate
1,124.0,117.4,0,0,1,0,0,19,10,Graduate
1,121.0,117.5,1,0,1,0,0,18,6,Graduate
1,134.0,120.4,1,0,1,0,0,19,7,Graduate
1,134.0,130.9,0,1,1,0,0,18,6,Graduate
1,151.0,151.0,0,1,1,0,0,26,5,Dropout
1,107.0,103.5,1,0,1,0,0,20,6,Graduate
1,126.0,119.4,0,0,1,0,0,19,6,Graduate
1,133.0,134.4,1,0,1,0,1,18,6,Graduate
1,140.0,143.0,0,0,1,0,0,19,6,Graduate
1,110.0,110.0,0,1,1,0,0,40,7,Graduate
1,141.0,132.5,1,0,1,0,1,18,8,Graduate
1,122.0,114.7,0,0,1,0,0,19,6,Graduate
1,156.0,166.9,0,0,1,0,0,18,5,Graduate
1,188.0,178.3,1,0,1,0,0,18,0,Dropout
2,120.0,117.0,1,0,1,0,0,33,6,Graduate
1,130.0,150.0,0,0,1,0,0,35,6,Graduate
1,140.0,135.1,1,0,1,0,0,18,6,Graduate
4,133.1,136.2,0,0,1,0,0,39,5,Graduate
2,120.0,116.0,0,0,1,0,0,44,6,Graduate
1,117.0,116.3,1,0,1,0,0,24,6,Dropout
1,123.0,134.0,0,0,1,0,1,20,6,Graduate
1,127.0,124.2,1,0,0,0,0,19,0,Dropout
2,151.0,134.5,0,1,1,0,1,18,7,Graduate
1,127.0,120.7,0,1,0,0,0,22,6,Dropout
1,133.0,127.1,1,0,1,0,0,18,6,Graduate
1,133.1,133.0,0,0,1,0,0,24,7,Graduate
1,133.1,128.2,0,0,1,0,0,33,5,Dropout
1,160.0,172.0,0,0,1,0,0,26,6,Dropout
1,140.0,128.5,1,0,1,0,0,18,6,Graduate
1,146.0,128.5,0,1,1,0,0,19,6,Dropout
1,140.0,142.5,1,0,1,0,1,22,11,Graduate
1,133.1,106.0,1,0,1,0,1,21,6,Graduate
1,136.0,125.5,1,0,1,0,1,21,7,Graduate
1,122.0,112.9,1,0,1,0,1,19,7,Graduate
1,138.0,124.8,1,0,1,0,0,18,8,Dropout
2,160.0,140.9,0,0,1,0,0,50,11,Graduate
1,161.0,148.4,0,0,1,0,1,19,6,Graduate
4,140.0,129.7,0,0,1,0,0,35,5,Graduate
2,133.1,128.2,0,0,1,0,0,31,6,Dropout
1,130.0,119.9,1,0,0,0,0,34,5,Dropout
1,152.0,141.0,1,0,1,0,1,18,7,Graduate
4,133.1,140.0,0,0,1,0,1,26,7,Dropout
1,125.0,117.0,0,0,1,0,1,19,6,Graduate
1,140.0,140.2,0,0,1,0,0,20,11,Graduate
1,124.0,129.3,0,0,1,0,0,19,6,Graduate
1,140.0,145.3,0,0,1,0,0,18,6,Graduate
1,130.0,146.2,0,0,1,0,0,28,14,Graduate
1,160.0,156.1,0,0,1,0,1,21,6,Graduate
1,141.0,128.4,1,1,0,0,0,18,6,Dropout
1,120.0,115.0,0,0,0,0,0,20,5,Dropout
1,166.0,158.7,0,0,1,0,0,18,6,Graduate
1,147.0,124.5,1,0,1,0,1,19,8,Graduate
1,121.0,111.9,1,0,1,0,0,20,11,Graduate
1,150.0,150.0,1,0,1,0,1,22,6,Graduate
1,124.0,114.2,1,1,1,0,0,18,6,Dropout
1,96.0,96.0,1,0,1,0,0,19,5,Dropout
1,142.0,131.3,1,0,1,0,0,19,8,Graduate
1,135.0,137.1,1,0,1,0,0,18,0,Graduate
1,120.0,120.0,1,0,1,0,0,21,13,Graduate
1,140.0,139.0,0,0,1,0,0,27,5,Graduate
1,135.0,129.1,0,0,1,0,0,19,6,Graduate
4,133.1,128.2,0,0,1,0,0,25,5,Dropout
1,137.0,120.8,1,0,1,0,1,18,8,Graduate
1,122.0,135.8,0,0,1,0,0,24,8,Graduate
1,128.0,118.9,1,0,1,0,0,20,7,Graduate
1,140.0,140.0,0,0,1,0,0,26,5,Graduate
1,132.0,127.1,1,0,1,0,1,20,6,Graduate
1,131.0,137.0,0,0,1,0,0,18,5,Graduate
1,126.0,127.4,1,0,1,0,0,19,6,Graduate
1,133.1,97.0,1,0,1,0,0,23,6,Dropout
1,136.0,126.3,1,0,1,0,1,18,7,Graduate
1,140.0,127.5,0,0,1,0,0,18,7,Dropout
1,135.0,126.6,0,0,1,0,1,19,7,Graduate
1,160.0,120.0,0,0,1,0,0,30,7,Graduate
1,140.0,140.0,1,0,1,0,0,29,6,Dropout
1,140.0,131.5,1,0,1,0,0,19,8,Graduate
1,115.0,112.2,1,0,1,0,0,20,7,Graduate
1,144.0,150.5,0,0,1,0,0,20,7,Graduate
1,128.0,121.0,1,0,1,0,0,19,6,Graduate
3,135.0,129.4,1,0,1,0,0,21,5,Dropout
1,121.0,114.4,0,0,1,0,0,19,6,Graduate
1,134.0,120.3,1,0,1,0,1,18,8,Graduate
1,120.0,120.0,0,0,1,0,1,27,6,Graduate
1,125.0,114.5,1,0,1,0,1,19,5,Graduate
1,141.0,127.8,0,0,1,0,1,19,7,Dropout
1,140.0,124.6,1,0,1,0,0,19,6,Graduate
1,144.0,130.3,1,0,1,0,1,18,8,Graduate
1,130.0,118.8,0,0,1,0,1,18,6,Graduate
1,133.1,133.0,1,0,1,0,0,19,6,Dropout
2,133.1,129.0,1,0,1,0,0,36,7,Graduate
1,136.0,132.5,1,0,1,0,0,19,8,Graduate
1,127.0,120.3,1,0,1,0,1,18,8,Graduate
1,123.0,114.6,0,0,1,0,0,18,5,Graduate
1,128.0,116.5,1,0,1,0,1,19,6,Graduate
1,128.0,127.8,0,0,1,0,1,19,7,Graduate
1,140.0,129.9,1,0,1,0,0,18,7,Dropout
1,121.0,118.9,1,0,1,0,0,20,6,Graduate
1,126.0,114.8,1,0,1,0,0,20,8,Graduate
1,135.0,123.0,1,0,1,0,1,18,8,Graduate
1,131.0,122.1,1,0,1,0,0,18,7,Graduate
1,140.0,123.7,0,0,1,0,0,19,5,Graduate
2,130.0,114.8,0,0,1,0,0,44,6,Graduate
1,130.0,130.0,0,0,1,0,0,32,6,Dropout
1,140.0,122.3,0,0,1,0,0,22,6,Dropout
2,130.0,152.4,1,0,1,0,0,36,12,Graduate
1,125.0,120.1,0,0,1,0,1,18,6,Graduate
1,160.0,155.1,1,0,1,0,0,20,5,Graduate
1,130.0,124.5,0,0,1,0,1,20,11,Graduate
1,144.0,126.9,0,0,1,0,0,19,6,Graduate
1,133.1,153.2,1,1,1,0,0,24,5,Graduate
1,133.1,135.0,0,0,1,0,0,27,10,Dropout
1,129.0,125.2,0,0,1,0,1,23,16,Graduate
1,144.0,141.3,1,0,1,0,1,18,8,Graduate
1,120.0,117.1,1,0,1,0,1,18,6,Graduate
1,144.0,126.5,1,0,1,0,1,20,8,Graduate
1,132.0,120.1,0,0,1,0,1,20,6,Graduate
1,142.0,128.4,0,0,1,0,0,23,6,Dropout
1,136.0,140.0,1,0,1,0,0,20,7,Graduate
1,133.1,110.0,1,0,0,0,0,28,5,Dropout
1,122.0,116.8,1,0,1,0,0,21,5,Graduate
1,133.1,104.5,1,0,1,0,0,21,2,Dropout
1,140.0,140.0,0,0,1,0,0,28,7,Dropout
1,117.0,113.2,0,0,1,0,0,18,7,Graduate
1,136.0,123.8,0,0,1,0,0,19,7,Graduate
1,141.0,126.7,1,0,1,0,1,18,8,Graduate
1,130.0,133.8,0,0,1,0,0,19,7,Dropout
1,102.0,100.6,1,0,1,0,1,20,7,Graduate
1,126.0,132.7,0,0,1,0,1,18,6,Graduate
1,125.0,106.6,1,0,1,0,0,20,6,Dropout
1,120.0,140.4,0,0,1,0,0,31,6,Dropout
1,132.0,128.3,1,0,1,0,1,19,7,Graduate
1,128.0,118.6,1,0,1,0,1,19,7,Graduate
1,115.0,123.4,0,0,1,0,0,23,6,Graduate
1,125.0,124.0,0,0,1,0,0,19,6,Graduate
1,137.0,121.3,1,0,1,0,0,20,7,Graduate
1,130.0,130.0,0,1,0,0,0,27,5,Dropout
1,100.0,120.0,0,0,1,0,0,29,7,Dropout
1,122.0,130.4,1,0,1,0,0,18,6,Graduate
1,126.0,118.7,0,0,1,0,0,18,6,Graduate
1,128.0,131.5,0,0,1,0,0,18,8,Graduate
1,128.0,129.1,1,0,1,0,0,18,6,Graduate
1,130.0,130.0,0,0,0,0,0,28,5,Dropout
1,135.0,132.8,1,0,1,0,1,18,8,Graduate
1,138.0,133.5,1,0,1,0,0,18,6,Graduate
1,150.0,146.2,0,0,1,0,0,18,5,Dropout
1,125.0,115.2,0,0,1,0,0,21,5,Dropout
2,120.0,101.8,0,0,0,0,0,32,5,Dropout
1,140.0,100.0,0,0,1,0,0,28,5,Graduate
1,100.0,121.9,0,0,0,0,0,40,4,Dropout
2,140.0,120.4,0,1,0,0,0,39,5,Dropout
2,140.0,120.4,0,1,0,0,0,39,6,Dropout
2,120.0,148.8,0,0,1,0,0,50,6,Graduate
1,138.0,123.0,1,0,1,0,0,23,6,Dropout
4,133.1,100.0,0,0,1,0,0,48,6,Dropout
1,118.0,112.1,1,0,1,0,0,23,6,Dropout
1,135.0,126.8,1,0,1,0,1,18,8,Graduate
1,130.0,115.9,0,0,1,0,0,18,5,Graduate
1,150.0,132.5,1,0,0,0,0,20,6,Graduate
1,149.0,132.2,1,0,1,0,1,18,5,Graduate
1,180.0,183.5,1,0,1,0,0,18,7,Dropout
1,133.1,136.0,0,0,1,1,0,31,5,Dropout
1,145.0,114.5,1,0,1,1,0,24,0,Graduate
1,110.0,110.3,0,1,0,1,0,26,5,Dropout
1,154.0,137.2,1,1,1,1,0,18,6,Dropout
1,133.0,121.8,1,0,1,1,0,22,6,Dropout
1,145.0,127.3,1,0,1,1,0,18,8,Graduate
1,120.0,120.0,0,1,0,1,0,20,6,Dropout
1,150.0,150.0,0,0,1,1,0,25,0,Graduate
1,150.0,100.0,1,0,1,1,0,24,5,Graduate
1,150.0,150.0,1,0,1,1,0,27,5,Dropout
1,127.0,116.9,0,0,1,1,0,21,6,Graduate
1,140.0,140.0,1,0,1,1,0,21,6,Graduate
1,128.0,122.1,1,0,1,1,0,19,6,Dropout
1,127.0,160.0,0,0,1,1,0,28,7,Graduate
1,150.0,150.0,0,0,1,1,1,21,6,Graduate
1,154.0,144.9,0,0,1,1,1,18,7,Graduate
1,125.0,116.3,1,0,1,1,0,19,5,Graduate
1,126.0,122.5,1,0,1,1,0,19,5,Dropout
1,133.1,115.0,1,1,0,1,0,25,6,Dropout
1,115.0,115.0,0,1,1,1,0,21,11,Dropout
1,117.0,119.8,1,0,1,1,0,19,5,Dropout
1,133.1,95.0,0,0,1,1,0,20,5,Dropout
1,150.0,150.0,0,0,1,1,0,25,14,Dropout
1,161.0,144.2,1,0,1,1,0,18,0,Graduate
1,111.0,128.2,1,0,1,1,0,23,8,Graduate
1,140.0,135.3,0,0,1,1,0,21,12,Graduate
1,139.0,140.7,0,0,1,1,0,25,5,Dropout
1,132.0,130.4,1,0,1,1,0,18,6,Graduate
1,119.0,123.2,1,0,1,1,0,22,6,Graduate
1,133.1,118.0,0,0,1,1,0,27,6,Graduate
1,133.1,120.0,0,0,1,1,0,25,3,Dropout
1,129.0,118.9,1,0,1,1,0,18,5,Dropout
1,128.0,117.2,0,0,1,1,0,20,5,Graduate
1,120.0,120.0,0,0,1,1,0,27,6,Graduate
1,130.0,118.1,0,0,1,1,0,20,6,Graduate
1,130.0,124.8,1,0,1,1,0,22,5,Dropout
1,111.0,106.5,1,0,1,1,0,19,5,Dropout
1,117.0,109.3,0,0,1,1,0,19,0,Graduate
2,133.1,120.0,1,0,0,1,0,29,5,Dropout
1,149.0,137.5,0,0,1,1,0,19,8,Graduate
2,134.0,120.4,0,0,1,0,0,20,6,Graduate
1,136.0,136.7,1,0,1,0,0,20,6,Graduate
1,133.1,118.5,1,0,1,0,0,31,6,Dropout
1,141.0,133.0,1,0,1,0,0,18,7,Graduate
