admission_grade,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,curricular_units_1st_sem_enrolled,curricular_units_1st_sem_approved,curricular_units_1st_sem_grade,curricular_units_2nd_sem_grade
111.0,0,1,0,0,19,6,6,14.833333333333334,13.285714285714286
107.4,0,1,0,0,19,7,4,12.45,11.7
132.0,0,1,0,0,20,6,5,13.4,13.0
138.0,1,1,0,0,20,6,6,13.333333333333334,14.0
146.5,0,1,0,1,18,7,5,11.98,11.98
140.0,0,1,0,0,20,5,4,11.0,13.2
113.5,0,1,0,0,19,6,5,12.666666666666666,11.75
144.7,0,1,0,0,19,6,5,12.2,13.0
110.0,0,1,0,0,27,5,3,10.666666666666666,11.4
129.8,0,1,0,0,18,5,3,11.666666666666666,11.0
140.0,0,1,0,0,18,5,2,10.5,12.333333333333334
136.6,0,1,0,0,18,8,8,14.26875,14.26875
132.5,0,1,0,1,19,5,2,10.5,13.333333333333334
129.8,0,1,0,0,21,6,5,11.2,10.0
140.7,0,0,0,0,23,12,9,13.666666666666666,13.5
103.5,1,1,0,1,19,6,5,11.4,10.0
100.0,1,1,0,0,18,6,5,10.6,10.0
108.0,0,1,0,0,19,7,5,11.8,11.708333333333334
97.0,0,1,0,0,18,6,5,11.833333333333334,12.0
130.6,0,1,1,0,21,6,6,12.571428571428571,13.0
160.0,0,1,1,0,20,6,3,10.0,10.8
115.0,0,0,1,0,20,6,5,13.2,12.0
110.0,0,1,1,0,37,5,5,15.8,17.6
168.2,0,1,1,0,18,6,5,13.8,12.4
110.0,0,1,1,0,23,6,6,13.0,12.0
126.8,0,1,1,0,18,6,4,13.75,11.2
126.1,0,1,1,0,32,11,7,11.285714285714286,12.333333333333334
122.8,1,1,1,0,19,12,11,12.0,11.181818181818182
129.3,0,1,1,0,20,0,0,0.0,0.0
120.2,1,1,1,0,40,5,1,11.0,10.0
131.8,0,1,1,0,20,5,5,10.2,11.2
150.0,0,1,0,0,20,5,4,12.0,12.4
121.5,0,1,0,0,19,7,6,13.411428571428573,13.294444444444444
97.0,0,1,0,0,19,6,4,11.8,12.2
121.3,0,1,0,0,20,7,6,11.833333333333334,14.333333333333334
129.4,0,1,0,0,18,8,6,13.345,13.345
121.3,0,1,0,0,18,6,6,12.166666666666666,12.75
125.7,0,0,0,1,22,6,6,11.0,12.0
136.0,1,1,0,0,20,5,2,11.5,10.0
128.4,1,0,0,0,23,6,6,14.0,13.0
140.0,0,1,0,0,20,6,6,11.166666666666666,11.5
123.3,0,1,0,0,21,5,5,12.8,12.666666666666666
147.5,0,1,0,0,20,6,6,12.5,11.5
100.0,0,0,0,1,20,7,7,13.462857142857144,13.164285714285716
118.7,0,1,0,0,20,7,6,14.714285714285714,13.2
110.0,1,1,0,0,21,5,5,13.2,12.5
142.3,0,1,1,0,18,5,4,12.0,11.0
130.5,0,1,1,0,23,7,5,12.414285714285713,13.5
127.1,0,0,1,0,22,5,4,11.5,14.0
124.5,0,1,0,0,18,5,4,14.25,12.714285714285714
162.0,0,1,0,0,22,6,5,12.6,11.25
100.0,1,0,1,0,18,5,0,0.0,0.0
139.6,0,1,1,1,21,7,5,11.2,11.583333333333334
121.8,0,1,0,0,21,6,6,10.833333333333334,11.0
135.7,0,1,0,0,20,6,4,11.25,10.0
126.8,0,1,0,0,37,5,2,10.0,11.333333333333334
106.4,1,1,0,0,37,8,7,11.375,12.166666666666666
132.9,1,1,0,0,28,6,0,0.0,0.0
115.0,0,1,0,0,18,5,1,11.0,12.5
135.1,0,1,0,0,34,8,7,11.705714285714285,11.705714285714285
108.0,0,1,0,0,31,6,6,12.0,13.428571428571429
130.5,0,1,0,0,18,6,6,12.666666666666666,12.25
100.0,0,1,0,0,31,6,0,0.0,0.0
122.9,0,1,1,0,18,5,2,11.666666666666666,12.5
131.8,0,1,1,0,24,5,3,10.666666666666666,10.5
108.0,1,0,1,0,18,5,3,12.0,10.333333333333334
110.0,0,1,1,1,41,5,4,11.0,11.4
132.5,0,1,1,0,34,5,4,11.75,10.833333333333334
170.0,0,1,0,1,20,7,5,14.46,13.55
134.6,0,1,0,0,22,6,5,12.8,11.5
130.5,0,1,0,1,18,6,4,12.0,10.75
141.1,0,1,0,1,18,6,6,14.333333333333334,14.0
125.4,0,1,0,0,18,6,5,12.333333333333334,10.6
116.1,1,1,0,0,18,6,5,13.6,11.75
156.9,0,1,0,0,19,6,4,12.5,12.5
120.7,0,1,0,0,21,6,5,12.2,12.6
149.2,0,1,0,0,18,7,5,11.4,13.333333333333334
136.6,0,1,0,0,18,0,0,0.0,0.0
141.0,0,1,0,0,18,6,3,12.0,10.25
114.6,0,1,0,0,21,10,6,11.166666666666666,10.571428571428571
131.6,0,1,0,1,20,7,5,12.62,12.5
123.0,0,1,0,0,25,5,3,10.666666666666666,11.333333333333334
100.0,0,1,0,0,25,7,7,11.857142857142858,11.7
156.9,0,1,0,0,24,6,4,15.75,16.4
104.2,0,1,0,0,19,5,4,11.0,10.666666666666666
127.1,0,1,0,1,19,5,5,12.4,11.0
122.8,0,1,0,1,20,5,3,12.0,12.625
115.2,0,1,0,0,18,0,0,0.0,0.0
130.5,0,1,0,0,18,7,6,12.0,12.166666666666666
125.3,0,1,0,0,19,5,3,10.333333333333334,14.428571428571429
144.9,0,1,0,0,19,7,5,12.94,13.76
97.0,0,1,0,0,19,5,4,12.25,12.0
116.1,0,1,0,0,32,7,4,13.625,12.6375
122.8,0,1,1,0,24,5,4,12.0,12.666666666666666
145.0,0,1,0,0,19,7,6,13.598333333333334,11.933333333333332
131.8,0,1,0,0,45,11,11,12.7,12.96818181818182
138.3,0,1,0,0,18,7,6,11.5,12.714285714285714
132.7,1,1,0,0,37,6,6,12.875,12.9
108.0,0,1,0,1,20,6,4,10.75,11.5
131.8,0,1,0,1,18,7,6,13.533333333333331,12.228571428571428
107.0,1,1,0,0,21,9,8,13.25,12.2
100.0,0,1,1,0,25,5,1,11.0,10.0
130.5,1,1,0,0,21,6,1,12.0,11.0
113.6,0,1,0,0,19,5,0,0.0,14.75
101.3,1,1,0,0,23,11,8,12.375,12.6
122.0,0,1,0,0,18,6,5,12.6,12.428571428571429
142.3,0,1,1,1,24,6,4,12.25,11.5
126.8,0,1,1,1,20,6,6,11.375,13.8
126.3,0,1,1,1,18,5,4,13.5,13.625
95.0,0,1,1,0,26,6,4,10.0,12.0
107.0,0,1,0,0,18,6,6,12.333333333333334,12.0
132.0,0,1,0,0,19,5,3,12.0,11.75
122.0,0,1,0,0,20,7,6,13.5,14.0
110.0,0,1,0,0,18,5,4,10.666666666666666,12.0
126.1,0,1,0,0,21,6,4,12.5,12.666666666666666
121.0,0,1,0,0,18,6,4,11.5,13.75
121.6,0,1,0,0,20,6,3,11.2,12.0
126.5,0,1,0,0,19,6,5,13.0,10.4
161.0,0,1,0,1,27,7,6,12.6,11.685714285714283
129.7,1,0,0,1,19,5,5,12.8,12.0
97.0,0,1,0,1,19,7,5,13.04,12.5
116.1,1,0,0,0,23,11,11,13.166666666666666,13.333333333333334
134.1,0,1,0,1,20,6,5,10.6,11.166666666666666
140.0,0,1,0,0,20,6,6,13.428571428571429,12.666666666666666
138.0,0,1,1,0,18,5,5,12.0,12.5
100.0,0,1,1,0,21,5,4,11.5,10.6
112.4,0,1,0,0,20,6,6,13.333333333333334,13.0
132.9,0,1,0,0,18,0,0,0.0,0.0
127.1,0,1,0,0,19,6,5,12.2,10.8
126.8,0,1,0,1,19,6,4,11.0,11.666666666666666
168.2,0,1,0,1,19,5,5,11.6,12.666666666666666
110.0,0,1,0,0,18,5,4,13.5,13.4
128.7,0,1,0,0,19,6,5,13.4,13.5
109.0,0,1,0,1,21,6,3,10.2,12.25
122.0,0,1,0,1,18,6,6,10.833333333333334,11.0
103.5,0,1,0,1,18,7,6,12.816666666666668,12.875
121.0,1,1,0,0,19,6,2,13.5,11.0
130.5,0,1,1,0,20,5,4,11.6,12.25
122.9,0,1,1,0,20,5,5,12.0,13.0
140.7,0,1,1,0,18,7,6,13.976666666666668,12.041666666666666
129.8,0,1,1,0,19,6,4,12.5,10.0
115.1,0,1,1,0,19,5,3,11.666666666666666,12.0
160.0,0,1,1,0,20,6,6,11.833333333333334,10.4
118.7,0,1,1,0,21,5,4,13.2,14.25
95.0,0,1,1,0,18,5,5,12.0,11.4
125.4,0,1,1,0,20,6,4,11.6,11.5
120.0,0,1,1,0,20,5,4,12.0,12.5
108.0,0,1,0,1,25,6,6,11.285714285714286,12.2
107.0,0,1,1,0,28,6,5,12.0,12.333333333333334
135.1,0,1,0,0,35,7,5,13.34,10.84
108.0,0,1,0,0,27,8,7,12.457142857142856,12.457142857142856
138.0,0,1,0,1,31,5,4,10.5,10.5
115.5,0,1,1,0,47,5,4,10.0,12.5
142.3,0,1,1,1,20,0,0,0.0,0.0
122.9,0,1,1,0,18,0,0,0.0,0.0
113.5,0,1,0,0,39,6,2,13.0,13.0
97.0,1,1,1,0,30,5,4,14.5,16.2
126.8,0,1,0,0,41,6,4,12.25,12.5
103.5,0,0,0,0,18,6,5,12.6,11.8
140.0,1,1,1,0,18,5,0,0.0,0.0
110.0,0,1,1,0,20,7,7,12.857142857142858,12.75
106.4,0,1,0,0,21,6,5,13.6,14.25
111.8,1,0,0,0,20,6,3,12.0,11.0
119.5,0,1,0,0,20,6,6,13.166666666666666,14.0
138.4,1,1,0,0,19,7,0,0.0,11.666666666666666
116.4,0,1,0,0,45,12,12,14.0,13.857142857142858
140.0,0,1,0,0,28,5,4,11.25,13.0
132.5,0,1,1,1,18,0,0,0.0,0.0
110.0,0,1,0,0,18,6,1,11.0,11.0
101.3,0,1,0,0,18,5,4,12.0,12.25
131.8,0,1,1,0,21,5,5,11.166666666666666,10.8
157.0,0,1,1,0,18,5,4,11.5,10.333333333333334
107.1,0,1,1,0,19,5,2,10.5,11.75
110.0,0,1,1,0,19,5,4,12.5,11.0
100.0,0,1,1,0,22,7,6,12.833333333333334,12.5
126.2,0,1,1,0,21,6,6,12.285714285714286,14.25
132.5,0,1,1,0,18,6,5,11.0,10.333333333333334
120.0,1,1,1,0,20,12,11,12.545454545454543,11.625
121.9,0,1,1,0,18,6,6,12.666666666666666,13.6
130.5,0,1,1,0,18,5,5,13.0,12.4
101.3,0,1,1,0,54,13,13,13.307692307692308,12.818181818181818
137.8,0,1,0,0,19,8,7,14.514285714285714,14.514285714285714
170.0,0,1,0,0,27,5,5,15.2,14.0
138.0,0,1,0,0,20,5,4,11.75,10.5
130.5,0,1,0,0,20,0,0,0.0,0.0
140.0,0,1,0,0,19,6,6,14.0,15.0
110.0,0,1,0,0,25,5,4,12.5,11.0
133.0,0,1,1,0,19,5,3,10.666666666666666,14.0
161.0,0,1,1,0,19,6,4,12.25,12.666666666666666
129.8,0,1,1,0,20,0,0,0.0,0.0
121.8,0,1,1,0,19,5,5,11.8,12.4
122.0,0,1,1,0,18,5,2,14.0,11.0
160.0,0,1,1,0,19,5,4,10.75,12.25
110.0,0,1,0,0,31,6,4,12.25,12.0
124.1,1,0,0,0,24,6,4,12.5,11.5
104.2,0,1,1,1,33,8,1,10.0,10.0
97.0,0,1,0,1,20,6,4,12.0,10.75
142.3,0,1,1,0,44,11,9,12.333333333333334,11.0
136.6,0,1,1,0,18,7,6,12.035714285714286,13.75
139.6,0,1,1,0,19,6,5,12.2,12.0
134.9,0,1,1,0,21,9,7,11.285714285714286,12.25
108.0,0,1,1,0,20,6,5,11.8,12.0
123.5,0,1,1,0,20,5,0,0.0,10.5
127.1,0,0,1,1,18,5,5,14.2,14.2
122.0,1,1,1,0,19,12,10,12.7,12.272727272727272
119.5,0,0,1,0,26,8,8,15.125,13.666666666666666
100.0,1,1,1,0,32,7,3,12.0,10.333333333333334
160.0,0,1,0,1,23,6,4,14.25,12.0
131.7,0,1,0,0,24,5,2,10.5,10.0
127.5,0,1,1,0,25,6,5,11.666666666666666,12.0
110.0,0,1,1,0,19,6,5,10.8,10.0
136.0,0,1,1,0,21,6,5,12.8,12.25
111.9,1,1,1,0,19,5,4,11.0,12.0
135.7,0,1,1,0,25,5,3,11.0,11.5
119.8,0,1,0,0,21,7,4,13.125,12.333333333333334
115.2,0,1,1,1,19,5,5,11.8,11.5
107.0,0,0,1,1,18,5,5,12.2,12.0
140.0,1,1,1,0,24,6,6,14.88888888888889,13.727272727272728
164.3,0,0,0,0,19,6,5,13.0,11.666666666666666
100.0,0,1,0,1,19,7,4,12.65,11.1
150.0,0,1,0,0,19,5,1,11.0,0.0
134.7,0,1,0,0,21,5,3,11.333333333333334,10.5
129.8,0,1,0,1,18,5,4,11.571428571428571,12.0
97.0,0,1,0,0,39,7,5,12.16,12.16
114.5,1,1,1,0,20,5,5,13.2,11.4
168.2,0,1,1,0,19,6,3,12.5,11.0
107.0,0,1,1,0,27,2,2,12.5,12.5
129.2,0,1,1,0,34,5,0,0.0,11.0
123.5,1,1,1,0,41,7,5,14.333333333333334,14.636363636363637
114.5,0,1,0,0,48,7,4,11.75,11.725
103.5,0,1,0,0,18,0,0,0.0,0.0
122.8,0,1,0,0,19,6,2,10.5,11.0
107.0,0,1,0,0,21,6,4,12.0,11.5
132.7,0,1,0,0,19,6,5,12.333333333333334,11.0
130.5,1,1,0,0,20,6,5,12.2,14.6
140.0,0,1,0,0,20,6,5,14.2,13.5
122.8,0,1,0,0,18,6,5,12.8,10.0
119.8,0,0,0,1,18,6,5,11.8,13.0
112.4,0,1,0,0,17,8,5,12.46,12.46
157.0,0,1,0,0,18,6,5,11.833333333333334,11.5
127.3,1,0,0,0,24,9,8,13.125,13.0
130.5,0,1,0,1,20,8,0,0.0,0.0
123.0,0,1,0,0,18,5,3,12.333333333333334,11.6
164.3,1,1,0,0,18,6,4,13.25,10.666666666666666
120.5,1,1,0,0,20,11,8,12.625,11.0
141.8,0,1,0,0,19,7,4,12.85,12.62142857142857
136.0,0,1,0,0,20,6,6,14.285714285714286,13.0
113.8,0,1,0,0,34,5,0,0.0,0.0
136.8,0,1,0,0,18,6,4,11.25,12.2
110.0,1,1,0,0,25,6,6,11.333333333333334,11.75
113.6,0,1,0,0,21,6,5,11.6,13.0
110.0,0,1,0,0,34,5,2,11.5,11.75
121.3,0,1,1,0,17,0,0,0.0,0.0
95.0,0,1,1,0,22,6,3,14.5,14.375
138.0,0,1,0,0,19,7,5,13.44,13.066666666666668
103.5,0,1,0,0,20,6,6,13.0,12.0
123.7,0,1,0,0,19,6,5,12.666666666666666,11.0
101.3,0,1,0,0,21,5,5,12.2,11.333333333333334
131.8,0,1,0,0,21,6,5,11.8,11.833333333333334
107.0,0,1,0,1,18,7,5,12.16,13.4
95.0,0,1,0,0,18,6,1,15.0,12.5
138.0,0,1,0,0,18,5,2,11.5,11.8
136.0,0,1,0,0,19,5,1,13.0,15.333333333333334
103.5,0,1,0,0,18,0,0,0.0,0.0
97.0,0,1,0,0,18,6,6,12.0,12.75
134.8,0,1,0,0,18,7,7,12.385714285714286,12.728571428571428
135.1,1,0,0,0,18,6,5,12.4,14.166666666666666
132.5,0,1,0,0,21,6,3,11.75,12.333333333333334
125.4,0,1,0,0,18,0,0,0.0,0.0
138.3,0,1,0,0,19,6,1,11.5,10.5
115.0,0,1,0,1,18,6,6,12.0,11.142857142857142
133.0,0,1,1,1,18,0,0,0.0,0.0
120.7,0,1,1,0,18,5,3,11.0,11.0
101.3,0,1,1,1,19,6,4,12.0,12.285714285714286
125.0,0,1,1,0,20,5,2,10.5,12.25
157.9,0,1,1,0,19,6,3,11.666666666666666,10.333333333333334
126.3,0,1,1,1,20,7,6,14.142857142857142,14.125
130.5,0,1,1,0,22,5,0,0.0,13.333333333333334
140.0,0,1,1,1,22,5,3,12.333333333333334,10.571428571428571
114.5,0,1,1,0,19,5,5,10.2,12.0
108.0,0,1,1,0,19,6,5,12.6,11.0
108.0,0,1,1,0,18,5,4,12.25,11.666666666666666
131.8,0,1,1,1,18,6,3,10.666666666666666,12.0
140.8,0,1,1,0,19,6,4,12.75,13.0
110.0,0,1,1,0,24,6,6,11.333333333333334,11.333333333333334
115.0,1,0,1,0,25,6,0,0.0,0.0
131.8,0,1,1,0,37,5,4,10.75,11.333333333333334
138.0,0,1,1,0,19,5,5,12.0,10.5
135.1,0,1,1,1,19,7,6,12.528571428571428,12.416666666666666
121.9,0,1,1,1,21,8,0,0.0,0.0
132.5,0,1,1,0,20,7,3,10.666666666666666,11.5
140.2,0,1,1,1,19,6,6,13.125,12.714285714285714
135.6,0,1,1,0,42,6,5,12.4,11.8
111.4,0,0,1,0,21,6,5,14.0,14.8
110.0,0,1,1,0,19,6,5,11.4,11.0
116.4,0,1,1,0,21,6,4,11.75,10.5
116.1,0,1,1,0,20,6,6,13.428571428571429,11.5
126.2,0,1,1,0,19,5,4,11.8,11.5
118.7,0,1,1,0,23,7,3,14.0,14.0
122.5,0,1,1,0,18,6,6,12.333333333333334,10.8
141.8,1,1,1,1,22,5,5,10.666666666666666,11.0
134.8,0,1,1,0,19,5,5,11.833333333333334,14.714285714285714
125.3,0,1,1,1,22,6,6,11.666666666666666,12.166666666666666
108.0,0,1,1,0,38,6,5,16.0,16.5
145.0,0,1,1,0,27,7,7,14.085714285714284,14.085714285714284
134.9,0,1,1,0,19,5,0,0.0,10.0
160.0,0,1,1,0,20,5,5,15.8,13.714285714285714
129.7,0,1,1,0,18,5,4,12.5,14.666666666666666
130.5,0,1,1,0,19,6,4,12.5,13.25
131.8,1,1,1,0,24,5,1,10.0,11.0
110.0,0,1,1,0,22,5,0,0.0,11.666666666666666
126.3,0,1,1,1,19,6,4,12.0,12.5
103.5,1,1,1,0,23,17,13,12.153846153846152,11.909090909090908
120.7,0,0,1,0,29,6,6,16.5,13.8
139.0,0,1,1,0,20,6,6,11.285714285714286,11.77777777777778
133.0,0,1,1,0,22,0,0,0.0,0.0
110.0,0,1,1,0,20,6,5,14.0,12.0
110.0,0,1,1,0,24,5,4,13.75,12.0
129.4,1,1,1,0,21,12,10,11.8,11.444444444444445
120.7,0,1,1,0,20,5,4,11.5,0.0
161.0,0,1,1,0,22,6,5,13.4,10.666666666666666
108.0,0,1,1,0,18,5,2,13.5,12.333333333333334
110.0,0,1,1,0,22,6,3,11.333333333333334,12.333333333333334
140.0,0,1,1,0,19,6,5,11.4,12.4
111.7,0,1,0,0,43,5,3,10.666666666666666,12.5
97.0,0,1,1,0,24,7,7,13.571428571428571,13.4
110.0,0,1,1,0,18,5,4,12.0,13.0
110.0,0,1,1,0,21,5,0,0.0,11.666666666666666
147.5,0,1,1,0,39,6,5,11.4,11.0
139.6,0,1,1,0,34,7,6,11.333333333333334,12.6
103.5,1,0,1,0,18,0,0,0.0,0.0
115.0,0,1,1,0,21,12,12,15.083333333333334,13.083333333333334
97.0,0,1,1,0,27,5,3,10.0,13.0
100.0,0,1,1,0,18,5,4,10.0,16.0
138.3,0,1,1,1,20,6,5,13.833333333333334,12.3
126.2,0,1,1,0,19,6,5,11.6,11.0
97.0,0,1,1,0,23,6,6,12.666666666666666,12.2
132.5,0,1,1,0,22,0,0,0.0,0.0
120.7,0,1,1,0,20,5,3,12.666666666666666,12.5
114.6,0,1,1,0,20,6,3,13.666666666666666,10.25
126.8,0,1,1,0,19,5,5,10.8,13.5
140.0,0,1,0,0,18,7,4,11.575,12.419999999999998
97.0,0,1,1,0,20,5,4,14.25,10.0
131.6,0,1,0,1,18,6,6,12.833333333333334,13.0
150.0,0,1,0,0,19,6,5,11.4,10.75
107.4,0,1,0,0,19,5,5,14.857142857142858,15.142857142857142
110.0,0,1,0,0,19,6,3,11.666666666666666,11.5
119.7,0,1,0,1,20,6,6,12.5,14.333333333333334
108.0,1,1,1,0,18,5,3,10.666666666666666,11.333333333333334
110.0,0,1,1,0,18,5,4,10.5,10.5
121.8,0,1,0,0,18,0,0,0.0,0.0
122.9,0,1,0,0,19,5,5,11.5,10.666666666666666
129.8,0,1,0,0,20,6,1,12.0,0.0
139.6,0,1,0,0,26,6,3,10.666666666666666,11.2
123.0,1,1,0,0,41,5,5,11.6,12.2
121.3,0,1,0,0,26,5,4,12.0,11.25
131.6,0,1,0,0,21,5,3,12.0,12.666666666666666
141.8,0,1,0,0,24,5,2,10.5,11.0
135.6,0,1,0,0,18,6,5,12.2,12.2
110.0,1,0,0,0,22,7,6,11.5,13.166666666666666
130.0,0,1,0,0,23,5,2,10.0,12.0
130.5,0,1,0,0,21,5,2,13.0,12.0
100.0,0,1,0,0,18,6,5,13.4,12.0
123.7,0,1,0,0,22,6,4,12.25,11.333333333333334
137.8,0,1,0,0,29,10,9,11.555555555555555,11.9
124.0,0,1,1,0,19,7,7,12.2,12.2
130.5,0,1,1,1,18,5,4,10.8,11.75
100.0,0,1,1,0,28,5,4,12.75,14.333333333333334
115.2,0,1,1,0,20,6,6,12.714285714285714,13.0
110.0,0,1,1,0,26,7,7,13.285714285714286,12.142857142857142
135.1,0,1,1,0,20,7,5,13.976666666666668,13.22222222222222
150.0,0,1,1,1,20,6,6,12.0,12.5
133.3,0,1,1,0,43,8,7,11.635714285714286,11.635714285714286
129.5,1,1,1,0,18,5,4,12.5,11.285714285714286
107.0,0,1,1,0,40,5,3,11.0,12.5
111.3,0,1,1,0,27,6,6,10.666666666666666,11.25
121.5,1,1,1,0,26,6,0,0.0,0.0
135.7,0,1,1,0,20,5,5,10.8,12.0
128.9,0,1,1,0,20,5,5,11.0,10.0
122.3,1,1,1,0,20,5,0,0.0,0.0
128.4,1,1,1,0,30,7,4,14.4,13.5
142.3,1,0,1,0,21,6,4,12.25,13.4
124.0,0,1,1,0,19,5,0,0.0,0.0
131.8,0,1,0,0,25,7,7,11.95,12.042857142857144
