Admission grade,Age at enrollment,Application order,Course,Curricular units 1st sem (approved),Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Daytime/evening attendance,Debtor,Displaced,Educational special needs,Father's occupation,Father's qualification,GDP,Gender,Inflation rate,International,Marital status,Mother's occupation,Mother's qualification,Nationality,Previous qualification,Previous qualification (grade),Scholarship holder,Target,Tuition fees up to date,Unemployment rate,dataset_marker
110.0,28,1,6,4,0,5,13,11.25,1,4,0,5,11,10.5,0,1,0,1,0,8,14,-1.7,0,3.7,0,1,10,22,1,1,120.0,0,Enrolled,1,12.7,df1
140.0,18,1,14,3,0,5,6,11.666666666666666,0,4,0,5,6,13.5,0,1,0,1,0,10,27,0.32,0,2.6,0,1,10,22,1,1,142.0,1,Enrolled,1,7.6,df1
138.0,26,1,17,6,2,6,7,12.666666666666666,0,6,2,6,7,13.166666666666666,1,0,0,0,0,9,14,-3.12,0,-0.8,0,1,10,22,1,14,133.1,1,Enrolled,1,9.4,df1
157.7,21,1,10,8,5,10,18,11.5,0,4,0,6,12,10.0,0,1,1,0,0,10,27,-3.12,0,-0.8,0,1,6,1,1,1,120.0,0,Enrolled,0,9.4,df1
110.0,23,1,3,2,0,6,13,10.0,0,1,0,5,12,10.0,0,0,0,0,0,4,27,-3.12,0,-0.8,0,1,8,1,1,1,120.0,0,Enrolled,1,9.4,df1
150.0,35,1,12,3,0,3,4,11.816666666666668,0,3,0,3,3,11.333333333333334,0,1,0,0,0,19,3,2.02,0,0.6,0,1,28,1,1,1,140.0,0,Enrolled,1,11.1,df1
121.8,25,1,13,6,0,7,10,12.125,0,8,0,8,9,13.3125,0,1,0,0,0,6,1,-4.06,0,2.8,0,1,5,1,1,15,140.0,0,Enrolled,1,15.5,df1
139.6,19,3,12,6,0,7,10,12.471428571428572,0,7,0,7,8,11.4625,0,1,0,1,0,5,1,1.79,0,0.5,0,1,5,3,1,1,160.0,0,Enrolled,1,12.4,df1
108.0,24,1,2,11,11,17,19,12.909090909090908,0,9,9,13,15,13.555555555555555,0,1,0,1,0,4,3,1.79,0,0.5,0,1,4,3,1,1,180.0,0,Enrolled,1,12.4,df1
124.1,19,3,5,5,0,6,7,12.4,0,5,0,6,6,12.4,0,1,0,1,0,10,28,-3.12,0,-0.8,0,1,10,13,1,1,115.0,0,Enrolled,1,9.4,df1
121.4,18,1,15,1,0,6,12,11.0,0,0,0,6,12,0.0,0,1,0,1,0,9,27,-3.12,0,-0.8,0,1,10,22,1,1,120.0,0,Enrolled,1,9.4,df1
101.3,18,3,5,6,0,6,6,11.833333333333334,0,6,0,6,6,12.5,0,1,0,0,0,10,27,0.32,0,2.6,0,1,10,22,1,1,143.0,0,Enrolled,1,7.6,df1
141.0,18,1,12,7,0,7,7,13.79714285714286,0,8,0,8,8,13.775,0,1,0,0,0,7,14,1.79,0,0.5,0,1,6,13,1,1,180.0,1,Enrolled,1,12.4,df1
129.4,18,1,5,6,0,6,8,12.5,0,6,0,6,6,12.333333333333334,0,1,0,0,0,10,27,-4.06,0,2.8,0,1,3,4,1,1,110.0,0,Enrolled,1,15.5,df1
103.5,24,1,4,6,0,6,10,11.428571428571429,0,5,0,6,12,13.0,0,1,0,0,0,5,27,1.79,0,0.5,0,1,10,22,1,14,140.0,0,Enrolled,1,12.4,df1
111.7,19,1,14,4,0,6,8,11.0,0,4,0,6,9,11.0,0,1,0,1,0,11,14,1.74,0,1.4,0,1,5,1,1,1,134.0,0,Enrolled,1,10.8,df1
97.0,20,1,12,6,0,7,11,11.757142857142856,0,6,0,8,12,13.083333333333334,0,1,0,0,0,8,28,-4.06,0,2.8,0,1,8,23,1,1,133.1,0,Enrolled,1,15.5,df1
142.8,19,3,6,3,0,5,9,10.333333333333334,1,3,0,5,8,13.0,0,1,0,1,0,6,14,0.32,0,2.6,0,1,8,1,1,1,110.0,0,Enrolled,1,7.6,df1
124.1,18,1,16,5,0,6,9,12.6,0,5,0,6,8,11.4,0,1,0,1,0,5,14,-3.12,0,-0.8,0,1,5,2,1,1,150.0,0,Enrolled,1,9.4,df1
136.1,18,1,6,5,0,5,11,14.0,3,5,0,5,7,11.6,0,1,0,1,0,6,28,-3.12,0,-0.8,0,1,10,13,1,1,162.0,0,Enrolled,1,9.4,df1
131.8,18,1,16,5,0,7,12,12.0,0,6,0,7,9,12.666666666666666,0,1,0,1,0,7,28,2.02,0,0.6,0,1,10,1,1,1,133.1,0,Enrolled,1,11.1,df1
103.5,19,1,6,4,0,5,13,12.0,2,3,0,5,8,12.0,0,1,0,1,0,2,2,-3.12,0,-0.8,0,1,4,1,1,1,144.0,0,Enrolled,1,9.4,df1
110.0,26,1,9,4,3,5,5,13.0,0,2,1,5,7,12.0,0,1,0,1,0,2,28,-3.12,0,-0.8,0,1,10,22,1,1,148.0,0,Enrolled,1,9.4,df1
120.7,36,1,10,13,10,16,24,10.692307692307692,1,9,9,13,19,12.307692307692308,0,1,0,0,0,10,27,-4.06,0,2.8,0,1,10,22,1,1,135.0,0,Enrolled,1,15.5,df1
139.4,20,2,3,5,0,6,10,12.0,0,4,0,6,9,11.25,0,0,0,0,0,10,1,-3.12,0,-0.8,0,1,4,3,1,1,120.0,0,Enrolled,1,9.4,df1
114.6,30,1,4,0,0,6,6,0.0,0,0,0,6,6,0.0,0,1,1,0,0,9,27,2.02,0,0.6,0,1,4,22,1,1,144.0,1,Enrolled,1,11.1,df1
131.8,20,4,9,3,0,5,10,10.333333333333334,0,4,0,5,9,11.0,2,1,0,1,0,11,28,-0.92,0,0.3,0,1,10,13,1,1,150.0,0,Enrolled,1,16.2,df1
129.8,19,4,12,5,0,7,8,13.98,0,5,0,7,8,13.98,0,1,0,1,0,2,1,0.32,0,2.6,0,1,10,1,1,1,122.0,0,Enrolled,1,7.6,df1
129.7,19,1,6,1,0,5,8,11.0,0,5,0,5,6,11.2,0,1,0,0,0,8,27,0.32,0,2.6,0,1,3,13,1,1,116.0,0,Enrolled,1,7.6,df1
131.8,31,1,17,4,0,5,11,11.25,0,4,0,5,10,10.833333333333334,0,0,0,0,0,8,14,0.79,0,-0.3,0,4,10,23,1,1,123.0,1,Enrolled,1,13.9,df1
135.1,42,1,3,10,5,11,14,11.9,0,10,5,11,14,12.8,0,0,1,0,0,10,27,2.02,0,0.6,0,2,10,22,1,12,140.0,0,Enrolled,1,11.1,df1
110.0,18,1,16,7,0,7,7,12.285714285714286,0,6,0,7,8,13.333333333333334,0,1,0,1,0,4,3,3.51,0,1.4,0,1,4,3,1,1,132.0,1,Enrolled,0,8.9,df1
126.1,21,1,6,5,2,6,16,12.666666666666666,0,2,1,6,15,13.5,0,1,0,1,0,7,28,-0.92,0,0.3,0,1,6,22,1,14,145.0,0,Enrolled,1,16.2,df1
106.1,20,1,12,6,0,7,8,13.25,0,8,0,8,8,13.75,0,1,0,0,0,9,27,0.79,0,-0.3,0,1,9,13,1,1,143.0,0,Enrolled,1,13.9,df1
120.7,19,1,10,3,0,6,13,10.333333333333334,0,3,0,6,12,10.333333333333334,0,1,0,0,0,8,28,0.32,0,2.6,0,1,6,23,1,1,133.1,0,Enrolled,1,7.6,df1
108.0,22,1,16,5,0,6,10,13.166666666666666,0,5,0,6,8,12.4,0,1,0,1,0,6,14,-4.06,0,2.8,0,1,5,1,1,1,110.0,0,Enrolled,1,15.5,df1
160.0,21,1,6,4,0,6,11,12.75,0,1,0,6,19,11.0,0,1,0,1,0,6,28,1.79,0,0.5,0,1,5,4,1,14,147.0,0,Enrolled,1,12.4,df1
132.5,26,1,12,5,0,7,11,11.2,0,5,0,8,13,12.14,0,1,0,0,1,4,14,-0.92,0,0.3,0,1,6,1,1,1,133.1,0,Enrolled,1,16.2,df1
140.2,18,4,5,5,0,6,9,11.6,0,4,0,6,8,11.2,0,1,0,0,0,4,3,3.51,0,1.4,0,1,4,1,1,1,126.0,1,Enrolled,1,8.9,df1
134.7,20,1,11,3,0,6,13,10.333333333333334,0,3,0,6,12,10.333333333333334,0,1,0,1,0,8,27,1.74,0,1.4,0,1,8,22,1,1,136.0,0,Enrolled,1,10.8,df1
119.8,19,1,15,4,0,6,11,12.25,0,3,0,6,11,11.0,0,1,0,1,1,10,27,0.32,0,2.6,0,1,10,23,1,1,116.0,0,Enrolled,1,7.6,df1
152.4,19,1,11,6,0,6,6,12.0,0,4,0,6,7,12.75,0,1,0,0,0,10,28,1.79,0,0.5,0,1,10,13,1,1,140.0,0,Enrolled,1,12.4,df1
100.0,20,1,9,3,0,5,8,11.333333333333334,0,2,0,5,12,10.666666666666666,0,1,0,1,0,3,2,1.74,0,1.4,0,1,10,23,1,1,115.0,0,Enrolled,1,10.8,df1
135.1,20,1,11,4,0,6,10,11.25,0,6,0,6,6,10.5,0,1,0,0,0,6,14,1.79,0,0.5,0,1,6,13,1,1,133.1,1,Enrolled,1,12.4,df1
110.0,18,1,13,0,0,2,2,0.0,0,1,0,4,4,16.0,0,1,0,0,0,3,4,1.74,0,1.4,0,1,4,3,1,1,139.0,0,Enrolled,1,10.8,df1
129.7,18,1,8,1,0,5,11,12.0,0,3,0,5,9,12.0,0,1,1,1,0,6,28,-1.7,0,3.7,0,1,5,13,1,1,141.0,0,Enrolled,1,12.7,df1
128.9,20,3,11,5,0,6,8,12.8,0,5,0,6,9,12.8,0,1,0,1,0,11,28,1.79,0,0.5,0,1,4,13,1,1,120.0,1,Enrolled,1,12.4,df1
138.0,19,3,9,5,0,5,5,11.8,0,4,0,5,8,11.25,0,1,0,1,0,8,28,-3.12,0,-0.8,0,1,10,13,1,1,120.0,0,Enrolled,1,9.4,df1
150.0,20,1,10,5,0,6,11,10.6,0,4,0,6,11,10.4,0,1,0,0,0,10,1,-4.06,0,2.8,0,1,5,1,1,1,120.0,0,Enrolled,1,15.5,df1
130.0,20,1,16,5,0,6,9,14.333333333333334,0,8,4,8,8,12.625,0,1,0,1,0,11,28,-4.06,0,2.8,0,1,6,1,1,1,107.0,0,Enrolled,1,15.5,df1
129.2,21,1,10,5,0,6,8,13.2,0,5,0,6,7,11.8,0,1,0,1,0,39,14,3.51,0,1.4,0,1,29,23,1,1,123.0,1,Enrolled,1,8.9,df1
126.1,20,1,6,6,2,6,9,12.666666666666666,0,2,1,6,12,13.0,0,1,0,0,0,8,28,0.79,0,-0.3,0,1,10,23,1,14,140.0,0,Enrolled,1,13.9,df1
136.6,22,1,6,5,0,6,9,13.333333333333334,0,4,0,6,17,11.4,0,1,1,1,0,5,27,1.79,0,0.5,0,1,10,22,1,1,137.0,0,Enrolled,1,12.4,df1
110.0,18,1,16,6,0,7,10,10.666666666666666,0,6,0,7,12,12.833333333333334,0,1,0,1,1,6,1,0.79,0,-0.3,0,1,3,3,1,1,130.0,0,Enrolled,1,13.9,df1
129.5,20,3,6,3,0,5,13,11.333333333333334,2,5,0,5,8,12.6,0,1,0,1,0,10,28,-3.12,0,-0.8,0,1,10,22,1,1,124.0,0,Enrolled,1,9.4,df1
124.0,18,1,5,5,1,6,10,12.2,1,4,0,6,11,10.833333333333334,0,1,0,0,0,5,1,0.79,0,-0.3,0,1,5,1,1,1,150.0,0,Enrolled,0,13.9,df1
130.5,27,1,12,4,0,7,12,14.0,0,3,0,7,14,12.525,0,1,0,0,0,34,28,1.79,0,0.5,0,1,23,22,1,12,123.0,0,Enrolled,1,12.4,df1
138.0,26,1,1,7,0,7,9,14.75,0,5,0,7,12,13.8,3,1,0,0,0,5,1,-0.92,0,0.3,0,1,3,3,1,1,129.0,0,Enrolled,1,16.2,df1
135.6,18,2,5,4,0,6,8,10.75,0,0,0,6,9,0.0,0,1,0,1,0,4,1,-3.12,0,-0.8,0,1,3,4,1,1,143.0,0,Enrolled,1,9.4,df1
137.8,24,1,7,1,0,5,9,12.0,0,3,0,5,6,10.5,0,1,0,1,0,4,14,1.74,1,1.4,0,1,6,13,1,12,133.1,0,Enrolled,1,10.8,df1
129.7,19,1,9,3,0,5,12,11.666666666666666,0,3,0,5,10,11.666666666666666,0,1,0,0,0,8,27,-1.7,1,3.7,0,1,5,22,1,1,150.0,1,Enrolled,1,12.7,df1
121.3,20,1,9,5,0,5,8,10.0,0,2,0,5,10,12.0,0,1,0,0,0,8,14,0.32,1,2.6,0,1,6,13,1,1,143.0,0,Enrolled,1,7.6,df1
168.2,18,2,7,5,0,5,6,13.2,0,5,0,5,8,12.6,0,1,0,1,0,11,1,3.51,1,1.4,0,1,10,13,1,1,133.1,1,Enrolled,1,8.9,df1
112.5,20,2,9,4,0,5,9,10.2,0,3,0,5,6,11.0,0,1,0,0,0,11,1,-4.06,1,2.8,0,1,6,13,1,1,137.0,0,Enrolled,1,15.5,df1
153.6,25,1,7,5,2,5,6,14.2,0,2,1,5,5,13.5,0,1,0,0,0,11,1,-0.92,1,0.3,0,1,6,1,1,15,162.0,0,Enrolled,1,16.2,df1
134.8,22,1,14,6,0,6,8,12.625,0,2,0,6,11,14.5,0,1,1,0,0,7,14,2.02,1,0.6,0,1,6,23,1,1,137.0,0,Enrolled,1,11.1,df1
101.3,18,1,12,6,0,8,11,13.496666666666668,1,6,0,8,11,13.496666666666668,1,1,0,0,0,10,27,-3.12,1,-0.8,0,1,10,22,1,1,170.0,0,Enrolled,1,9.4,df1
132.0,20,1,9,3,0,5,8,11.0,0,3,0,5,11,12.0,0,1,0,1,0,5,1,1.74,1,1.4,0,1,8,13,1,1,130.0,0,Enrolled,1,10.8,df1
108.0,23,1,11,3,0,6,12,11.5,0,3,0,6,12,10.666666666666666,0,1,1,1,0,44,29,3.51,1,1.4,0,1,32,24,1,14,150.0,0,Enrolled,1,8.9,df1
133.0,20,1,8,2,0,5,14,11.0,3,3,0,5,9,12.666666666666666,0,1,0,1,0,4,1,-3.12,1,-0.8,0,1,4,1,1,1,133.1,0,Enrolled,1,9.4,df1
108.0,20,6,9,3,0,5,14,12.4,0,5,0,5,8,10.833333333333334,0,1,0,0,0,6,14,0.79,1,-0.3,0,1,5,3,1,1,160.0,0,Enrolled,1,13.9,df1
135.0,28,2,17,5,0,5,7,10.6,0,5,0,5,6,10.2,0,0,0,1,0,9,27,-3.12,0,-0.8,0,1,10,13,1,1,136.0,1,Enrolled,1,9.4,df1
111.0,19,1,14,6,0,6,6,14.833333333333334,0,6,0,6,8,13.285714285714286,0,1,0,1,0,8,14,3.51,0,1.4,0,1,9,1,1,1,154.0,0,Enrolled,1,8.9,df1
107.4,19,1,12,4,0,7,12,12.45,0,5,0,7,11,11.7,0,1,0,0,0,9,14,-0.92,0,0.3,0,1,3,3,1,1,134.0,0,Enrolled,1,16.2,df1
132.0,20,1,14,5,0,6,8,13.4,0,4,0,6,10,13.0,0,1,0,1,0,9,14,-1.7,0,3.7,0,1,5,1,1,1,133.1,0,Enrolled,1,12.7,df1
138.0,20,1,4,6,0,6,8,13.333333333333334,0,5,0,6,8,14.0,0,1,1,0,0,7,27,2.02,0,0.6,0,1,5,22,1,1,141.0,0,Enrolled,1,11.1,df1
146.5,18,3,12,5,0,7,8,11.98,0,5,0,7,8,11.98,0,1,0,1,0,6,27,0.32,0,2.6,0,1,7,23,1,1,120.0,1,Enrolled,1,7.6,df1
140.0,20,3,9,4,0,5,11,11.0,0,5,0,5,7,13.2,0,1,0,0,0,8,14,1.79,0,0.5,0,1,6,1,1,1,134.0,0,Enrolled,1,12.4,df1
113.5,19,1,6,5,0,6,10,12.666666666666666,0,4,0,6,19,11.75,0,1,0,1,0,4,1,1.79,0,0.5,0,1,3,3,1,14,132.0,0,Enrolled,1,12.4,df1
144.7,19,2,16,5,0,6,9,12.2,0,4,0,6,10,13.0,0,1,0,1,0,10,28,-3.12,0,-0.8,0,1,5,1,1,1,140.0,0,Enrolled,1,9.4,df1
110.0,27,1,17,3,0,5,9,10.666666666666666,0,4,0,5,7,11.4,0,0,0,0,0,5,1,1.74,0,1.4,0,1,10,23,1,1,118.0,0,Enrolled,1,10.8,df1
129.8,18,6,9,3,0,5,9,11.666666666666666,0,2,0,5,15,11.0,0,1,0,0,0,10,27,0.32,0,2.6,0,1,10,22,1,1,125.0,0,Enrolled,1,7.6,df1
140.0,18,1,9,2,0,5,8,10.5,0,3,0,5,7,12.333333333333334,0,1,0,1,0,10,28,0.32,0,2.6,0,1,5,22,1,1,124.0,0,Enrolled,1,7.6,df1
136.6,18,3,12,8,0,8,8,14.26875,0,8,0,8,8,14.26875,0,1,0,1,0,8,28,-3.12,0,-0.8,0,1,8,22,1,1,148.0,0,Enrolled,1,9.4,df1
132.5,19,1,9,2,0,5,8,10.5,0,3,0,5,11,13.333333333333334,0,1,0,1,0,10,27,0.32,0,2.6,0,1,10,13,1,1,112.0,1,Enrolled,1,7.6,df1
129.8,21,1,10,5,0,6,11,11.2,0,1,0,6,15,10.0,0,1,0,0,0,6,1,0.32,0,2.6,0,1,4,22,1,1,131.0,0,Enrolled,1,7.6,df1
140.7,23,1,6,9,7,12,19,13.666666666666666,0,6,4,9,15,13.5,0,1,0,1,0,6,1,3.51,0,1.4,0,1,6,1,1,16,120.0,0,Enrolled,0,8.9,df1
103.5,19,4,10,5,0,6,9,11.4,0,3,0,6,9,10.0,0,1,1,1,0,7,28,3.51,0,1.4,0,1,10,13,1,1,137.0,1,Enrolled,1,8.9,df1
100.0,18,1,10,5,0,6,10,10.6,0,2,0,6,14,10.0,0,1,1,0,0,11,14,0.32,0,2.6,0,1,6,22,1,1,140.0,0,Enrolled,1,7.6,df1
108.0,19,1,12,5,0,7,12,11.8,0,6,0,7,9,11.708333333333334,0,1,0,1,0,44,14,2.02,0,0.6,0,1,32,13,1,1,117.0,0,Enrolled,1,11.1,df1
97.0,18,1,16,5,0,6,9,11.833333333333334,0,4,0,6,6,12.0,0,1,0,1,0,8,14,-4.06,0,2.8,0,1,8,22,1,1,120.0,0,Enrolled,1,15.5,df1
130.6,21,1,11,6,0,6,8,12.571428571428571,0,4,0,6,10,13.0,0,1,0,0,0,4,14,-1.7,1,3.7,0,1,10,13,1,1,135.0,0,Enrolled,1,12.7,df1
160.0,20,1,11,3,0,6,12,10.0,0,5,0,6,9,10.8,0,1,0,0,0,2,1,-4.06,1,2.8,0,1,3,3,1,1,134.0,0,Enrolled,1,15.5,df1
115.0,20,1,6,5,2,6,10,13.2,0,3,1,6,21,12.0,0,1,0,0,0,7,2,1.79,1,0.5,0,1,7,2,1,14,140.0,0,Enrolled,0,12.4,df1
110.0,37,1,17,5,0,5,10,15.8,0,5,0,5,5,17.6,0,0,0,0,0,10,27,-3.12,1,-0.8,0,2,10,22,1,6,168.0,0,Enrolled,1,9.4,df1
168.2,18,1,14,5,0,6,16,13.8,0,5,0,6,7,12.4,0,1,0,1,0,11,1,0.79,1,-0.3,0,1,9,23,1,1,133.1,0,Enrolled,1,13.9,df1
110.0,23,1,11,6,0,6,10,13.0,0,6,0,6,9,12.0,0,1,0,0,0,8,1,2.02,1,0.6,0,1,4,13,1,1,131.0,0,Enrolled,1,11.1,df1
126.8,18,1,14,4,0,6,13,13.75,0,5,0,6,8,11.2,0,1,0,1,0,3,2,0.79,1,-0.3,0,1,3,3,1,1,124.0,0,Enrolled,1,13.9,df1
126.1,32,1,15,7,6,11,15,11.285714285714286,0,6,5,7,10,12.333333333333334,0,1,0,0,0,8,27,0.79,1,-0.3,0,1,4,3,1,1,140.0,0,Enrolled,1,13.9,df1
122.8,19,1,2,11,6,12,13,12.0,0,10,4,11,15,11.181818181818182,0,1,1,1,0,8,3,3.51,1,1.4,0,1,4,1,1,1,118.0,0,Enrolled,1,8.9,df1
129.3,20,1,2,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,0,1,0,11,14,-0.92,1,0.3,0,1,2,3,1,1,148.0,0,Enrolled,1,16.2,df1
120.2,40,1,9,1,0,5,10,11.0,0,1,0,5,10,10.0,0,1,1,0,0,4,3,2.02,1,0.6,1,1,30,1,8,1,129.0,0,Enrolled,1,11.1,df1
131.8,20,4,9,5,0,5,8,10.2,0,5,0,5,7,11.2,0,1,0,0,0,11,28,1.79,1,0.5,0,1,6,23,1,1,158.0,0,Enrolled,1,12.4,df1
150.0,20,1,8,4,0,5,7,12.0,1,4,0,5,6,12.4,0,1,0,1,0,5,1,1.74,0,1.4,0,1,5,1,1,14,134.0,0,Enrolled,1,10.8,df1
121.5,19,3,12,6,0,7,9,13.411428571428573,0,7,0,8,12,13.294444444444444,0,1,0,1,0,10,14,-4.06,0,2.8,0,1,5,1,1,1,132.0,0,Enrolled,1,15.5,df1
